Type de bien,Localisation,Salles de bains,Superficie,Prix,Chambres
Appartement,Ariana,01,91,295.0,2.0
Appartement,Tunis,1,31,100000.0,1.0
Appartement,Ben Arous,3,210,350000.0,4.0
Appartement,Tunis,3,300,365000.0,4.0
Villa,Ben Arous,3,250,6.0,5.0
Appartement,Tunis,1,100,2300.0,3.0
Appartement,Ben Arous,1,100,270000.0,3.0
Villa,Nabeul,2,700,590000.0,3.0
Appartement,Ariana,1,56,105000.0,2.0
Appartement,Tunis,1,98,270000.0,3.0
Appartement,Ariana,1,55,180000.0,1.0
Appartement,Tunis,1,101,270000.0,2.0
Appartement,Ariana,1,80,202000.0,1.0
Villa,Ariana,2,240,950000.0,3.0
Appartement,Sousse,0,100,250000.0,2.0
Maison,Nabeul,2,1200,155000.0,3.0
Villa,Nabeul,4,550,870000.0,3.0
Appartement,Sousse,0,100,250000.0,2.0
Appartement,Ariana,2,157,494997.0,3.0
Appartement,Nabeul,3,140,375000.0,3.0
Villa,Nabeul,3,430,790000.0,4.0
Appartement,Nabeul,1,100,140000.0,1.0
Villa,Nabeul,3,1295,12345660.0,6.0
Appartement,Ariana,1,114,295000.0,2.0
Appartement,Ariana,112,1,255000.0,2.0
Appartement,Ariana,1,75,195.0,2.0
Appartement,Nabeul,4,585,1799999.0,8.0
Villa,Ariana,5,450,750000.0,11.0
Appartement,Ariana,1,69,195000.0,1.0
Appartement,Ariana,3,175,360000.0,4.0
Appartement,Ariana,1,56,247000.0,1.0
Appartement,Ariana,1,40,170000.0,1.0
Appartement,Ariana,1,75,232000.0,1.0
Appartement,Ariana,1,137,451996.0,2.0
Appartement,Sousse,2,100,255.0,2.0
Maison,Tunis,2,95,320000.0,5.0
Appartement,Ariana,2,153,425002.0,2.0
Appartement,Ben Arous,3,176,350000.0,3.0
Appartement,Tunis,2,187,850000.0,3.0
Appartement,Tunis,1,80,325000.0,2.0
Appartement,Ariana,1,84,320000.0,1.0
Appartement,Tunis,2,184,700000.0,3.0
Appartement,Tunis,1,50,1599.0,1.0
Maison,Sousse,1,4000,430000.0,1.0
Appartement,Sousse,1,103,285000.0,2.0
Villa,Sousse,2,337,450000.0,3.0
Appartement,Tunis,1,125,270000.0,3.0
Appartement,Sousse,1,145,520000.0,2.0
Appartement,Ben Arous,1,85,165000.0,3.0
Appartement,Nabeul,1,106,392200.0,2.0
Villa,Ariana,6,150,1045000.0,8.0
Appartement,Ben Arous,1,818,1500000.0,3.0
Appartement,Tunis,1,76,275000.0,2.0
Maison,Nabeul,1,113,190000.0,3.0
Appartement,Nabeul,1,155,230000.0,2.0
Appartement,Ben Arous,2,320,380000.0,5.0
Appartement,Ben Arous,1,100,450.0,2.0
Appartement,Ariana,1,53,140000.0,1.0
Maison,Nabeul,4,600,240000.0,6.0
Appartement,Bizerte,0,126,370000.0,2.0
Appartement,Tunis,1,55,180000.0,1.0
Villa,Bizerte,2,55,11.0,5.0
Villa,Bizerte,2,2000,2200000.0,6.0
Appartement,Tunis,1,55,180000.0,1.0
Appartement,Ben Arous,2,381,580000.0,5.0
Villa,Ariana,2,391,849000.0,4.0
Appartement,Ariana,3,222,770000.0,5.0
Appartement,Ariana,0,1000,400000.0,3.0
Villa,Sousse,3,685,510000.0,4.0
Appartement,Nabeul,1,122,384200.0,2.0
Appartement,Ariana,3,200,560000.0,3.0
Villa,Ariana,5,402,890000.0,8.0
Appartement,Ariana,2,140,400000.0,3.0
Villa,Ariana,1,220,660000.0,4.0
Villa,Nabeul,4,320,990000.0,4.0
Villa,Nabeul,4,620,720000.0,4.0
Maison,Nabeul,1,150,130000.0,2.0
Appartement,Tunis,1,60,165000.0,1.0
Appartement,Tunis,2,172,340000.0,4.0
Appartement,Sousse,1,0,171000.0,1.0
Appartement,Ben Arous,1,65,95000.0,1.0
Villa,Sousse,2,0,510000.0,4.0
Appartement,Tunis,2,172,340000.0,4.0
Appartement,Sousse,0,0,200000.0,0.0
Appartement,Sousse,0,60,102000.0,1.0
Appartement,Tunis,1,53,165000.0,1.0
Maison,Sousse,1,1100,300000.0,3.0
Appartement,Ben Arous,1,79,135000.0,2.0
Appartement,Tunis,1,90.40,313000.0,2.0
Appartement,Ben Arous,1,100,60.0,1.0
Appartement,Tunis,2,140,320000.0,3.0
Appartement,Tunis,1,95,210000.0,2.0
Villa,Ben Arous,4,1014,2400000.0,6.0
Appartement,Tunis,1,53,145000.0,2.0
Appartement,Nabeul,0,55.09,250000.0,1.0
Appartement,Tunis,1,68,1000.0,1.0
Appartement,Tunis,0,18,58000.0,1.0
Appartement,Tunis,2,140,360000.0,3.0
Appartement,Tunis,1,93,380000.0,2.0
Appartement,Tunis,2,194,880000.0,3.0
Appartement,Tunis,4,260,880000.0,6.0
Villa,Ariana,4,227,950000.0,5.0
Villa,Ariana,0,300,980000.0,4.0
Appartement,Tunis,0,386,262999.0,0.0
Appartement,Tunis,2,185,440000.0,3.0
Villa,Ariana,5,1900,4.0,8.0
Villa,Ariana,0,1500,1400000.0,0.0
Appartement,Tunis,0,145,295000.0,3.0
Villa,Ben Arous,0,524,650000.0,3.0
Appartement,Tunis,2,145,280000.0,3.0
Appartement,Tunis,2,145,280000.0,3.0
Maison,Ben Arous,1,112,98000.0,2.0
Appartement,La Manouba,1,115,229000.0,3.0
Appartement,La Manouba,2,162,375000.0,3.0
Appartement,La Manouba,1,103,225000.0,2.0
Appartement,Tunis,2,208,1300000.0,3.0
Maison,Ben Arous,2,120,650000.0,5.0
Appartement,Tunis,4,275,417499.0,5.0
Villa,Tunis,6,600,1800000000.0,8.0
Villa,Ariana,4,2200,2600000.0,5.0
Appartement,Tunis,4,300,980000.0,4.0
Appartement,Tunis,1,90,245000.0,2.0
Appartement,Ariana,2,147,345000.0,1.0
Appartement,Ariana,0,216,400000.0,3.0
Maison,Tunis,4,60,270000.0,5.0
Appartement,Ariana,02,120,340.0,2.0
Appartement,Sousse,1,60,180000.0,1.0
Villa,Sousse,3,170,540000.0,4.0
Appartement,Sousse,1,200,399999.0,2.0
Appartement,Sousse,1,67,165000.0,2.0
Maison,Tunis,3,260,320000.0,5.0
Appartement,Ariana,3,205,600000.0,4.0
Appartement,Tunis,1,109,215000.0,2.0
Appartement,Tunis,1,109,210000.0,2.0
Appartement,Ariana,2,120,175000.0,2.0
Maison,Sousse,2,176,185000.0,2.0
Villa,Sousse,5,400,1350000.0,7.0
Appartement,Sousse,1,134,250000.0,3.0
Villa,Sousse,3,310,880000.0,4.0
Appartement,Sousse,1,145,185000.0,1.0
Appartement,Sousse,1,65,200000.0,1.0
Appartement,Sousse,7,319,720000.0,10.0
Appartement,Tunis,1,97,215000.0,2.0
Appartement,Tunis,2,150,408000.0,3.0
Appartement,Tunis,1,109,215000.0,2.0
Villa,Sousse,3,9000,1450000.0,5.0
Villa,Sousse,2,400,435000.0,2.0
Villa,Tunis,2,463,749000.0,6.0
Appartement,Tunis,2,147.6,370000.0,3.0
Appartement,Tunis,1,64,205000.0,1.0
Appartement,Tunis,5,55,180000.0,1.0
Appartement,Mahdia,1,75.4,259000.0,2.0
Appartement,Mahdia,1,35,105000.0,1.0
Appartement,Mahdia,1,101.3,374000.0,2.0
Appartement,Tunis,1,150,350000.0,3.0
