Localisation,Configuration des pièces,Superficie,Chambres,Type de bien,Annonce,Type de transaction,Prix,Salles de bains
Tunis,S+2,False,2,,À Vendre : Appartements S+2 Direct Promoteur,À Vendre,,False
Tunis,S+4,False,4,,À Vendre : Un appartement S+4 situé à Jardin L'Aouina,À Vendre,390000,1
Ariana,,1274,1,,Espace 1274 m² à Charguia 1,À Vendre,2500000,8
Tunis,,131,2,,LOCAL COMMERCIAL A LES JARDINS DE L'AOUINA,À Vendre,590000,3
Ariana,S+3,100,3,,A vendre S+3 Ennasr 2,À Vendre,250000,1
Tunis,S+1,False,1,,À LOUER : Un chaleureux S+1 ( MEUBLÉ ) situé à Cité Wahat,À Louer,1200,False
Tunis,S+2,70,1,,"la  Marsa  centre  ville , loue  un  appt  un  S+2  proche  de  tous  commodités , loyer : 1200 d / mois , tél : 29 318 386",À Louer,1200,2
Monastir,S+1,90,2,,location par nuitées S+1 & S+2 haut standing sans coupure d'eau,À Louer,80,1
Ariana,S+3,False,False,,"A Vendre : Un lumineux Duplex S+3 DIRECT PROMOTEUR, Situé à La Soukra",À Vendre,780000,False
Tunis,S+2,False,2,,À louer : Un appartement S+2 situé à Cité Wahat,À Louer,1100,False
Monastir,S+1,90,2,,location par nuitées S+1 & S+2 haut standing sans coupure d'eau,À Louer,80,1
Tunis,S+2,False,False,,A Vendre : Des appartements S+2 et S+3 ( Direct Promoteur ) situé à La Nouvelle Soukra,À Vendre,,False
Ariana,S+2,False,2,,A vendre : Un appartement S+2 situé à Chotrana 3,À Vendre,360000,1
Tunis,S+1,False,False,,À Vendre : Des appartements S+1 et S+2 situé à La Nouvelle Soukra,À Vendre,171000,False
Tunis,S+3,220,3,,APPT S+3 SPACIEUX A LES JARDINS DE L'AOUINA,À Louer,2000,3
Sfax,,False,False,,ارض للبيع في صفاقس,False,,False
Ariana,S+3,False,3,,"A vendre : Un appartement S+3 haut standing, situé à La Soukra",À Vendre,650000,False
Tunis,S+2,False,2,,A LOUER : Un appartement S+2 situé au Jardin de L'Aouina,À Louer,1100,False
Ben Arous,,False,False,,lot de terrain a boumhel bel air,False,,False
Ben Arous,,65,1,,Appartement S1 à Boumhel Bassatine,À Vendre,165000,1
Nabeul,S+1,70,1,,S+1 Vu Piscine à Vendre dans une belle résidence avec piscine et salle de sport à AFH2 Mrezga Nabeul,À Vendre,270000,1
Ben Arous,,200,3,,A vendre une villa RDC s+3 à nouvelle médina prés hôpital yassminette,À Vendre,350000,1
Ben Arous,S+2,130,3,,appartement S+2 luxueusement meublé,À Louer,2100,2
Tunis,S+1,False,1,,À LOUER : Un appartement S+1 situé à Cité Wahat,À Louer,870,False
Ben Arous,,120,0,,a louer un étage de villa meublée a la nouvelle medina 3,À Louer,1300,1
Nabeul,S+2,90,2,,S+2 à Hammamet Centre,À Louer,1500,1
Ariana,,60,1,,A vendre murs local 60 m² a Ariana,À Vendre,95000,1
Nabeul,S+3,140,3,,S+3 meublé à Yasmine Hammamet,À Louer,1100,1
Tunis,,140,1,,A louer local sur GP9  l'Aouina,À Louer,4500,1
Nabeul,S+2,85,2,,S+2 à Hammamet Nord,À Louer,1300,1
Nabeul,,60,1,,Studio Nice,À Louer,150,1
Tunis,,140,3,,Habitation ou bureau,À Louer,1700,1
Tunis,S+1,50,2,,BUREAU S+1 A AIN ZAGHOUAN,À Louer,1300,1
Ariana,,150,2,,RDC villa à Ennasr 2,À Louer,1600,1
Monastir,,68,2,,A Louer pour les vacances :,À Louer,,1
La Manouba,,882,False,,Bonne Affaire,À Vendre,470000,False
Ben Arous,,280,4,,RDC 2S +3 HST à Hammam chat,À Louer,1500,2
Tunis,,350,1,,A vendre local 250 m² à Montplaisir,À Vendre,950000,2
Tunis,,100,3,,Bureaux à Montplaisir,À Louer,1650,2
Ariana,S+4,175,4,,S+4 à Ennasr 2,À Louer,1600,2
Zaghouan,,480,1,,bâtiment en charpente métallique à jbel el oust,À Louer,2400,1
Ben Arous,S+1,100,1,,Appartement Rdc S+1 meublée à Ezzahra lycéé,À Louer,1200,1
Nabeul,,420,4,,"Villa "" LA ROSE """,À Vendre,760000,3
Nabeul,,845000,4,,"VILLA "" FLAMINGO """,À Vendre,,3
Nabeul,,500,2,,"Villa "" Le Petit Prince """,À Vendre,300000,1
Monastir,,False,1,,A Louer pour les vacances,À Louer,,1
Tunis,S+3,200,3,,Etage de villa S+3 meublé à sidi daoued,À Louer,2500,2
Tunis,S+2,150,2,,appartement S+2 meublé à l'aouina,À Louer,1350,1
Ben Arous,,100,2,,Appart S2 EL Baya à Louer à Ezzahra,À Louer,1000,1
Ariana,S+3,175,3,,A Vendre : Un spacieux appartement S+3 direct promoteur situé à La Soukra,À Vendre,580000,1
Ariana,S+3,200,3,,"Appartement "" MARIA "" S+3",À Vendre,400000,1
Nabeul,,800,4,,"Villa "" APOLLO """,À Vendre,1050000,4
Tunis,S+4,595,4,,Villa S+4 aux berges du lac 2,À Louer,11000,2
Zaghouan,,100,2,,appartement à jbel el oust,À Louer,340,1
Tunis,S+5,750,5,,Villa S+5 avec piscine aux jardins de carthage,À Vendre,3500000,4
Tunis,S+3,134,3,,À vendre : Un appartement spacieux et rénové S+3 Situé à Cité Wahat,À Vendre,310000,False
Tunis,S+1,70,1,,Appartement S+1 richement meublé aux jardins de carthage,À Louer,1500,1
Tunis,S+2,False,2,,A Louer : Un appartement S+2 situé à Cité Wahat,À Louer,,False
Tunis,S+2,130,2,,Appartement S+2 HST aux jardins de carthage,À Louer,2400,2
Ariana,S+2,False,2,,À Vendre : Un spacieux appartement S+2 situé à La Soukra,À Vendre,250000,False
Tunis,S+3,280,3,,Appartement S+3 meublé au lac 2,À Louer,2500,1
Nabeul,S+3,140,3,,A louer à l’année à Hammamet cité AFH Mrezga un appartement S+3 vide,À Louer,1000,2
Tunis,S+2,False,2,,"A Vendre : Un merveilleux appartement S+2, Situé à La Nouvelle Soukra",À Vendre,390000,3
Nabeul,,620,4,,"Villa "" CAMÉLIA """,À Vendre,720000,4
Nabeul,,600,4,,"Villa "" La Belle des Nuit """,À Vendre,830000,4
Tunis,S+1,False,0,,A VENDRE : Des appartements S+1 en direct promoteur situé à Cité Wahat,À Vendre,167000,False
Tunis,,110,3,,Appart S3 Barja Meublé à Louer à Cité Bounouk,À Vendre,1400,1
Tunis,,286,0,,A louer plateau 286m² en open space au Centre Urbain Nord,À Louer,9600,4
Tunis,,250,5,,A louer plateau 250 m² au Centre Urbain Nord,À Louer,4200,3
Tunis,S+2,False,2,,À LOUER : Un appartement S+2 situé à L'Aouina,À Louer,950,False
Tunis,S+1,False,False,,"🏡 À Vendre : NOUVEAUX APPARTEMENTS "" S+1 , S+2 , S+3 ET DES DUPLEX "" ( DIRECT PROMOTEUR ) 🏡",À Vendre,,False
Tunis,,110,3,,A louer bureau Hall3 au centre urbain nord,À Louer,2200,2
Tunis,,112,3,,A louer bureau Hall3 au centre urbain nord,À Louer,2300,2
Tunis,S+3,False,3,,À Louer : Un appartement S+3 situé à Cité Wahat,À Louer,1397,1
Ben Arous,,False,False,,400M2R+2MORNAG 20MIN CV TUNIS,False,450,False
Nabeul,,False,False,,𝔸 𝕍𝔼ℕ𝔻ℝ𝔼  un terrain à Hammamet Nord 29256226,False,,False
Tunis,S+1,False,1,,"🏡 À Vendre : NOUVEAUX APPARTEMENTS "" S+1 , S+2 "" ( DIRECT PROMOTEUR ) 🏡",À Vendre,,False
Ben Arous,,False,False,,400M2 R+2mornag20min cv tunis,False,450,False
Tunis,S+2,False,2,,À Vendre : Un S+2 situé à Jardin l'Aouina,À Vendre,225000,False
Ariana,,118,False,,À Louer : Usage bureautique Spacieux situé à La Soukra,À Louer,2000,False
Sousse,,95,2,,un joli appartement s+2 RDC à khzema charkia,À Louer,750,2
Tunis,,130,5,,à louer s + 2 aux jardins de Carthage,À Louer,2100,2
Tunis,S+2,147,2,,A LOUER : Un appartement S+2 situé au Jardin de Carthage,À Louer,1800,1
Tunis,,140,2,,à louer s + 2 meublé aux jardins de Carthage,À Louer,3200,1
Tunis,,580,6,,A louer villa moderne usg bureau à Mutuelle ville,À Louer,7000,5
Tunis,S+1,False,1,,À Louer : Un appartement S+1 situé à la Nouvelle Soukra,À Louer,1000,False
Tunis,,255,5,,A louer local 255 m² bureau ou commercial à Montplaisir,À Louer,8000,4
Tunis,,250,2,,A louer local commercial 250 m² a Montplaisir,À Louer,4500,3
Tunis,,160,1,,A louer plateau 122m² au RDC en open space a Montplaisir.,À Louer,3000,4
Tunis,,87,3,,A louer Bureau sup 87m² 4 pièces à Montplaisir,À Louer,1300,2
Tunis,,145,1,,A louer bur 3eme étage H3 à Montplaisir,À Louer,1800,2
Tunis,,59,1,,Un Appartement s+1 direct promoteur à la Nouvelle Soukra,À Vendre,234000,0
Tunis,,170,3,,à louer s + 2 aux jardins de Carthage,À Louer,2600,2
Tunis,,110,3,,A louer bureau moderne H3 à Montplaisir,À Louer,1500,1
Tunis,,69,2,,A vendre bureau moderne h2 à Montplaisir,À Vendre,250000,1
Ariana,S+2,129,2,,A Vendre : Un appartement S+2 Direct promoteur situé à La Nouvelle Soukra,À Vendre,,False
Ariana,S+3,176,3,,Ennasr A Louer S+3 à coté de René Descartes,À Louer,1800,3
Ariana,S+3,300,4,,Une Splendide Villa S+3 près de Closerie à La Soukra,À Louer,5500,3
Tunis,S+3,False,3,,A Louer : Un spacieux et chaleureux appartement S+3 situé à Ain Zaghouan Nord ( Vide ),À Louer,2500,False
Tunis,S+5,480,5,,Une Belle Villa S+5 avec jardin à louer à L'Aouina,À Louer,3500,4
Tunis,S+3,221,3,,villa S+3 meublée à louer à ain zaghouen nord,À Louer,3500,0
Tunis,S+1,59,1,,Appartement S+1 Direct promoteur à Ain Zaghouan,À Vendre,237500,0
Tunis,S+2,85,2,,Un Appartement S+2 Direct promoteur à Ain Zaghouan,À Vendre,313000,0
Tunis,S+1,60,1,,Appartement S+1 à louer à Ain Zaghouan nord,À Louer,1650,0
Ariana,S+2,99,2,,Appartement S+2 Direct Promoteur à La Soukra,À Vendre,401000,1
Tunis,,1766,0,,Dépôt de 1766 m²  à louer,À Louer,15000,0
Ariana,,116,3,,Bureau A+3 à louer à la soukra,À Louer,2500,0
Ariana,S+4,457,3,,Villa De Luxe de Style Minimaliste S+4 à vendre à La Soukra,À Vendre,,0
Tunis,S+3,155,3,,Appartement S+3 à vendre l'aouina,À Vendre,294998,0
Tunis,,220,3,,Locale commerciale à louer à l'aouina,À Vendre,5500,2
Mahdia,,170,3,,منزل مؤثث ، في معتمدية قصور الساف في ولاية المهدية ، للكراء باليوم,À Louer,50,1
Ariana,,140,3,,Centre esthétique ou bureautique,À Louer,1000,1
Ariana,,False,False,,Terrain 680 m2 dominant le relief de Nahli.,False,265000,False
Le Kef,,False,False,,A vendre très joli et discret terrain nu au Kef  dans zone d'avenir للبيع أرض جميلة جدا في موقع أجمل بالكاف الغربية,False,70000,False
Nabeul,S+3,119,4,,"A Vendre un S+3 en cours de construction, Vue piscine à AFH Mrezga Nabeul",À Vendre,440300,2
Ariana,,45,2,,s1 meublé,À Louer,900,1
Sousse,,False,False,,terrain a vendre a kouda chatt eromen soussa,False,270,False
Tunis,,100,1,,Studio Roselle Meublé à Louer à Sidi Bou Said,À Louer,2000,1
Sfax,,80,3,,Appartement à louer près de la faculté de médecine,À Louer,500,1
Ben Arous,,150,3,,Appart S3 Al Rayyan  à Louer d'Ezzahra,À Louer,1100,1
Ariana,,208,4,,Duplex s4 268 m2 haut standing à Menzah 7 bis,À Vendre,,3
Sousse,,50,1,,un joli appartement s+1 tout compris à hammam sousse,À Louer,650,1
Bizerte,,80,2,,A Louer Appartement RDC Bien équipée avec Jardin Sécurisé,À Louer,100,0
Nabeul,,False,False,,ساحة في كركوان,False,150,False
Ariana,,200,2,,Location villa meublée Soukra par jour,À Louer,110,2
Sousse,,10500,8,,Local industriel pour Usine de surface 10500 m2,À Vendre,,8
Sousse,,False,False,,Terrain pour villa dans résidence zone agricole calme,False,195000,False
Sousse,,1300,1,,Local Charpente El Bhaier H-Sousse,À Louer,7800,1
Sousse,,1000,1,,Local à 2 Niveaux H- Sousse,À Louer,6000,1
Sousse,,300,1,,Local 2 niveaux Khézama Sousse,À Louer,5000,2
Bizerte,,False,False,,terrain vu sur mer a rafraf,False,120000,False
Sousse,,587,9,,Villa avec piscine côté mer Hergla,À Vendre,1050000,4
Sousse,S+2,90,2,,Standing S+2  Meublé à Chatt El Kantaoui,À Louer,1500,2
Sousse,,870,6,,Villa Haut Standing El Kantaoui,False,3100000,8
Sousse,,160,3,,Duplex à Monte Carlo H -Sousse,À Louer,1700,3
Sousse,S+4,150,4,,S+4 à Port El Kantaoui,À Vendre,900000,3
Nabeul,,0,1,,haut standing hammamet a vendre,À Vendre,270000,1
Sousse,,100,2,,un joli appartement s+2 haut gamme haut standing,À Louer,1100,2
Ben Arous,S+3,1200,4,,Appartement S+3 Mourouj 3,À Louer,700,1
Tunis,,60,1,,studio au kram,À Louer,50,1
Tunis,,130,2,,a louer s+2 a Menzah 9C,À Louer,1450,1
Tunis,S+2,114,2,,📍 MENZAH 9C : APPARTEMENT S+2 À VENDRE,À Vendre,380000,2
Ariana,,443,4,,Un  Penthouse Meublé avec Accès Indépendant | PLAZA IMMO,À Vendre,1150000,2
Tunis,,350,3,,Splendide Vente Une villa jumelée à Marina Gammarth,À Vendre,,3
Tunis,,550,3,,Exclusif Vente Villa à Manar 2,À Vendre,,2
Tunis,,285,False,,Sensationnel Location Open Space sur la route de la Marsa,À Louer,3500,2
Tunis,,312,3,,Une Villa Neuve d'Exception à Gammarth Forêt | PLAZA IMMO,À Vendre,1300000,3
Tunis,,210,3,,Éblouissant Bureau à Louer Espace Exceptionnel au Coeur de Lac 2,À Louer,4000,3
Sousse,,115,2,,PETITE MAISON A BOUFICHA A LOUER,À Louer,400,1
Sfax,,False,False,,20 MARJAA - TERRAIN ROUTE EL AIN KM 16,False,295000,False
Tunis,,120,False,,L’agence SALSABIL met en location deux local commercial (dépôt) Située à OUED GUERIANA,À Louer,1800,False
Ariana,,False,False,,"oppo Reno 12F 4G 8/256 Cacheté #Validé✔️
-Couleur :vert/Gris 
-Prix fiix non négociable: 820 dt
Vente en ligne  ☎️53137076 ➡️Dispo à Ariana / Tunis centre ville
🔴Echange : Non🔴",False,820,False
Tunis,S+2,100,2,,un maison rénovée à KSARSAID RDC S+2,À Louer,600,1
Tunis,S+2,100,2,,S+2 très haute standing dans une résidence très calme avec syndic a Menzeh 7 Bis,À Louer,1500,1
Tunis,S+2,1000,2,,S+2 au bardo,False,700,1
Tunis,,410,4,,à vendre une villa inachevée à ain Zaghouan Nord,À Vendre,1200000,3
Tunis,,50,2,,شقة مفروشة في تونس العاصمة باليوم,À Louer,90,1
Ariana,,150,3,,Étage de villa S +3 à vendre,À Vendre,320,1
Ben Arous,,400,4,,villa,À Vendre,123456,4
Mahdia,,100,1,,Location appartement luxueux,À Louer,600,1
Ariana,S+2,136,2,,À LOUER UN JOLI APPARTEMENT S+2  MEUBLÉ À CHOTRANA1,À Louer,1850,2
Nabeul,,315,6,,"VILLA "" ENZO """,À Vendre,370000,3
Ariana,,False,False,,"Au bord de la mer à Raoued plage au citè des juges 594 m2 clôturè,Constructible.",False,410000,False
Ben Arous,S+3,90,3,,Appartement  S+3 Ben Arous,À Louer,450,1
Ben Arous,S+1,52,1,,Appartement S+1,À Vendre,138000,1
Ariana,,200,3,,Colocation Pour Hommes Menzah7,À Louer,350,1
Tunis,,85,1,,Appartement meublé par nuitée à el wahat l'aouina,À Louer,100,1
Tunis,,160,2,,Appartement S2 Meublé par nuitée à el wahat l'aouina,À Louer,130,2
Sousse,,500,10,,Haverboard Oxelo 😎🤩💶,À Vendre,99,4
Sousse,,1000,5,,Poste pionneer d'origine💶,À Vendre,160,2
Tunis,S+2,104,2,,S+2 meublé jardins l'aouina pour étranger à l'année,À Louer,1250,1
Ariana,S+1,74,1,,S+1 meublé Ennasr2 pour étranger haut standing très propre,À Louer,1200,1
Sousse,S+1,False,2,,S+1 مفروشة بالكامل للكراء في سوسة سهلول موقع ممتاز,À Louer,900,1
Sousse,,63,2,,APPARTEMENT A USAGE DE BUREAU OU HABITATION 2 PIECES (A RENOVER) AU 1ER ETAGE ADRESSE: AU CENTRE VILLE BAB JEDID PRES DE LA BANQUE CENTRALE SOUSSE VILLE  TEL: 55 52 52 55,À Vendre,107100,1
Sousse,,64,2,,APPARTEMENT PRES DE LA BANQUE CENTRALE SOUSSE TEL : 55 52 52 55,À Louer,750,0
Ben Arous,,420,10,,Belle villa,À Vendre,,2
Sousse,,96,2,,APPARTEMENT PRES DE LA BANQUE CENTRALE SOUSSE TEL : 55 52 52 55,À Vendre,163200,0
Sousse,,133,5,,APPARTEMENT PRES DE LA BANQUE CENTRALE SOUSSE TEL : 55 52 52 55,À Vendre,226100,0
Ben Arous,,False,False,,Lot de terrain à vendre.,False,390,False
Le Kef,,False,False,,ضيعة للبيع,False,,False
Monastir,,False,False,,Terrain a vendre,False,540000,False
Sfax,,False,False,,Tarrain a vendre,False,,False
Nabeul,,120,3,,S3 HS AFH Mrezga  cité wafa,À Vendre,500000,2
Sfax,,300,5,,Maison spacieuse à Sfax,À Louer,700,1
Ben Arous,,False,False,,salle a vendre,False,1250,False
Sfax,,171,4,,appartement s+4,À Vendre,360,3
Sidi Bouzid,,730,22,,Immeuble à louer,À Louer,,9
Tunis,,1,2,,s+2 meublé par jours,À Louer,70,1
Sfax,,False,False,,3 Lots de terrain a Rte Manzel Chaker kl 10,False,,False
Bizerte,,20000,2,,Villa Piscine sans vis a vis   فيلا لكراء، مسبح,À Louer,300,1
Tunis,,90,3,,S1/S2 par nuitée,À Louer,99,2
Nabeul,,False,False,,À vendre terrain agricole 6 ha à Beni Khalled Rue El Menzah,False,6253000,False
Tunis,,140,3,,Superbe villa independante a marsa corniche,À Louer,2500,1
Nabeul,,550,5,,"Villa "" MADAGASCAR """,False,1250000,4
Tunis,,220,4,,super appartement s3 meuble vue sur mer  a gammarth,À Louer,2500,2
La Manouba,,60,2,,Studio a louer au manouba  centre,À Louer,10,1
Tunis,,50,2,,appt tres propre hall+ 2 chambres separees pres mohamed5,À Louer,800,1
Tunis,,120,3,,Super s2 meuble prés carrefour champion lafayet,À Louer,1200,1
Ariana,,40,2,,appartement S2 cité el ghazela,À Louer,850,1
Tunis,,55,2,,appartement luxe hall+2 fin  rue beyrouth bardo,À Louer,550,1
Tunis,,80,3,,S2 renove tres propre a rue beyrout bardo,À Louer,750,1
Ariana,,False,False,,terrain a vendre raoued plage,False,160000,False
Ben Arous,,393,5,,villa inachevée à boumhel,À Vendre,450,3
Tunis,,65,2,,appt s1 luxe meuble place jean d'arc,À Louer,1000,1
Tunis,,100,2,,grand S1 haut standing avec balcon au kram,À Louer,800,1
Tunis,,200,4,,Appt s3 luxe richement meuble marsa ville,À Louer,2500,2
Tunis,,70,3,,appartement s2 tres propre a hedi cheker bardo,À Louer,600,1
Ben Arous,,75,2,,appartement lieu strategique,À Vendre,140,1
Ben Arous,S+1,60,2,,"Studio S+1 60m2 , SB , cuisine",À Louer,,1
Tunis,S+2,104,2,,S+2 meublé Proche lac2 pr étranger à l'année jardins l'aouina,À Louer,1250,1
Nabeul,S+4,450,4,,Villa S+4 meublée d'environ 650m² à Yasmine Hammamet,À Louer,4500,4
Nabeul,S+2,0,2,,S+2 meublé pour location annuelle à la plage de Beni-khiar disponible,À Louer,700,1
Ben Arous,S+2,80,2,,Apparemment S+2 à El Mourouj 5,À Vendre,120000,1
Tunis,,209,4,,S4 meublé Neuf proche lac2 pr étranger à l'année,À Louer,2200,2
Sousse,,100,2,,Appartement à louer,À Louer,400,1
La Manouba,S+2,100,2,,Appartement S+2 DIRECT PROMOTEUR,À Vendre,260000,1
La Manouba,S+2,120,2,,Appartement S+2 DIRECT PROMOTEUR,À Vendre,280000,1
Nabeul,,80,3,,A Hammamet Appartement meublé à l'année,À Louer,550,1
Ben Arous,,False,False,,قطعة أرض للبيع بمنطقة دوار الحوش نعسان,False,,False
Tunis,,50,1,,"A vendre joli S1 haute standinge a nouvelle soukra, l aouina",À Vendre,169000,1
Ariana,,212,3,,شقة مفروشة للكراء appartement s+3 a louer par nuitée,À Louer,110,2
Ben Arous,,420,4,,Villa S3 radés meliane1,À Louer,1400,2
Ben Arous,,False,False,,ارض مساحتها 100 متر,False,13,False
Sousse,,1000,1,,Dépôt et terrain à vendre,À Vendre,220000,0
Jendouba,,50,2,,Appartement à louer climatisé résidence Tabarka le port de plaisance,À Louer,,1
Tunis,,50,1,,Location pizzeria,À Louer,,1
Sousse,,False,False,,Vente terrain Kalaa Kbira,False,,False
Ariana,,False,False,,Salle à manger,False,3500,False
Ariana,S+2,99,2,,S+2 meublé coté CUN avec PPSS,À Louer,1200,1
Sousse,,False,False,,lit à vendre,False,100,False
Sfax,,150,3,,للبيع  شقة بوزيان كلم4 s+3,À Vendre,360000,2
Nabeul,S+4,319,4,,Villa Individuelle S+4,À Vendre,1200000,5
Sfax,S+2,120,2,,"S+2 Meublé pour résident route Gremda km4,5",À Louer,1500,1
Sousse,,550,3,,Atelier à louer,À Louer,2800,2
Sousse,,240,1,,Magasin de stockage ou atelier 240 m avec force en top état général,À Louer,1050,1
Sousse,,160,1,,"Dépôt à louer, 160 mètres carrés, 5 mètres de haut, dans le meilleur état général",À Louer,1000,1
Sousse,,420,1,,"Espace a louer pour une activité industrielle, 420 m occupe un excellent emplacement",À Louer,4800,2
Sousse,,False,False,,"Terrains à vendre, face à l'hôpital Sahloul, 4 parcelles adjacentes sur voix de 12 m",False,1250,False
Nabeul,,550,9,,A vendre magnifique villa Duplex a 3 maisons et un local commercial,À Vendre,,4
Sousse,,370,1,,Espace a louer pour stocker des marchandises 350 m en top état général,À Louer,1350,1
Sfax,,False,False,,terrain 10500 m Taniour km16.5 a vendre 2 ème position.,False,150000,False
Ben Arous,,80,2,,Studio à louer,À Louer,250,1
Ben Arous,,1,1,,جراية صوف,À Vendre,150,1
Ben Arous,,100,3,,appartement s3 a boumhal lbassatine,À Louer,950,1
Tunis,,85,1,,Studio A Louer au centre-ville,À Louer,450,1
Tunis,,16,1,,Local commercial à Tunis - La Medina,À Louer,300,0
Tunis,,118,2,,A vendre villa neuf,À Vendre,350000,2
Tunis,,False,False,,قطعة ارض للبيع,False,36000,False
Tunis,,90,3,,AL Bureau H+3 RÉNOVÉ à Monplalsir,À Louer,1400,1
Mahdia,,False,False,,🏠À Vendre: Maison de campagne 🌳🌳sur un terrain de 1421 m²- Mahdia,False,190000,False
Tunis,,80,2,,À louer_Bureau_H+2_Monplaisir,À Louer,1500,1
Tunis,S+1,90,1,,au cité ROMENA1 BARDO 🔹Un S+1 1ère étage,À Louer,750,1
Sousse,,72,False,,Des bureaux neufs à louer - Sahloul 4 Sousse,À Louer,1070,False
Ariana,,False,False,,505 mètres carrés,False,1200,False
Tunis,S+1,68,1,,A LOUER - S+1 - AIN ZAGHOUEN - 50362627 - FB.7143,À Vendre,1000,1
Nabeul,,185,6,,فرصة للإستثمار في الهوارية,À Vendre,10,2
Ariana,,80,1,,Location Par Jour/Nuitée S1 Appt Studio Meublé A  El Menzah 8 Tel 58309017,À Louer,70,1
Mahdia,,False,False,,"Vente fond e commerce "" RESTAURANT PIZZERIA A MAHDIA """,False,209999,False
Ariana,,75,2,,"studio richement meublé ,climatisé à louer par jour :Ariana cité Ennasr 20011116",À Louer,70,1
Ariana,,80,2,,"S1 Appartement Studio meublé, Location Courte Durée A Ariana:Menzah8, Ennasr Tel 58309017",À Louer,80,1
Sfax,S+3,160,3,,S+3 Meublé طريق الافران كلم3,À Vendre,2000,2
Nabeul,,False,False,,Terrain 300 m² route principale ceinture Kelibia,False,120000,False
Tunis,S+1,55,1,,A VENDRE - S+1 - CITE EL WAHAT - 50362627 - FB.7136,À Vendre,195000,1
Sousse,,24,False,,Local commercial à louer - Khezama ouest Sousse,À Louer,650,False
Kairouan,,100,2,,s+2 dans une résidance luxe cité el manar kairouan,False,650,2
Sousse,,95,2,,Appartement S2 en vente,À Vendre,290000,1
Sousse,,100,2,,Appartement S2 en vente,À Vendre,340000,2
Ben Arous,S+2,75,2,,AV Mourouj 5 S+2,À Vendre,105000,1
Sousse,,100,2,,"Bureau (A+2) à Cité Hached , Proche de  Toutes  Commodités",À Louer,1000,1
Sousse,,80,1,,"Bureau (A+1) à Cité Hached , Proche de Toutes  Commodités",À Louer,800,1
Sousse,,322,3,,"Villa de Plain Pied à Cité Taamir, dans un Quartier Résidentiel",À Vendre,440000,2
Nabeul,S+2,100,3,,villa à Hammamet (S+2) R.D.C ou étage,À Louer,70,1
Sousse,S+3,85,3,,(S+3) à  Cité Riadh 5,À Vendre,89000,2
Sousse,S+2,80,2,,(S+2) à Cité Riadh 1 Prés de Facultés,À Vendre,120000,1
Sousse,S+1,70,1,,(S+1)  à Hergla,À Vendre,170000,1
Sousse,,140,2,,Maison  à  Cité Riadh  Ouvre sur deux  Façades,À Vendre,155000,1
Monastir,,False,False,,avendre scooteur pista vcx 110 cc,False,3000,False
Sousse,S+2,116,2,,(S+2) Jamais Habité à Sahloul 4  avec Place de Parking au Sous Sol,À Louer,1250,1
Sousse,,334,14,,"Résidence dispose de 11 Appartements  à Chatt Mariem, Prés de la Mer",À Vendre,1050000,11
Tunis,S+2,90,3,,Appartement S+2 à vendre,À Vendre,110000,1
Ben Arous,S+3,81,3,,S+3 en vente,À Vendre,175000,1
Ben Arous,S+3,133,2,,S+3 en location,À Louer,1300,2
Tunis,S+4,220,3,,A vendre Appartement S+4 aux jardins de carthage,À Vendre,,2
Tunis,,85,1,,S1 à louer,À Louer,650,1
Sfax,S+2,124,2,,Vente S+2 bouzayen km3 شارع محمد الجمل,À Vendre,350000,2
Tunis,S+7,450,7,,Une superbe Villa S+7 avec piscine à la marsa cube,À Louer,15000,4
Tunis,,300,1,,Open space de 300m² au coeur du Lac 2,À Louer,6500,2
Nabeul,S+1,55,1,,S+1 meublé à Hammamet Centre,À Louer,950,1
Nabeul,S+2,120,1,,S+2 meublé de 120m²,À Louer,1500,2
Nabeul,S+4,180,3,,Villa S+4 meublé de 180m²sur un terrain de 410m²,À Louer,2000,1
Ben Arous,,175,False,,Local Commercial,À Louer,123,1
Nabeul,S+3,150,3,,S+3 meublé à Hammamet centre,À Louer,1600,2
Tunis,,70,2,,H+2 à louer à la marsa plage,À Louer,1800,1
Tunis,S+1,60,-1,,S+1 avec jardin à la marsa cité du stade,À Louer,1400,1
Tunis,,45,False,,Bureau H+1 aux jardins de carthage,À Louer,1500,1
Tunis,,60,1,,a louer appartement s1 haut standing jamais habité avec parking a menzah 9c,À Louer,1000,1
Tunis,,82,0,,Bureau H+2 à l'aouina,À Louer,1450,1
Tunis,S+4,450,4,,Une superbe villa semi meublée S+4 avec jardin et piscine au lac 2,À Louer,9000,3
Nabeul,,460,4,,UNE BELLE VILLA S4 A VENDRE A HAMMAMET,À Vendre,920000,3
Nabeul,,112,2,,A louer des magnifiques appartements s+2 avec terrasse 📷 richement meublés et équipés de chauffage central et Wifi 📷,À Louer,80,1
Nabeul,,112,2,,A louer des magnifiques appartements s+2 avec terrasse 📷 richement meublés et équipés de chauffage central et Wifi 📷,À Louer,80,1
Nabeul,,743,4,,Maison 743 m²  à Fatha 2 Kelibia,À Vendre,660000,2
Nabeul,,114,2,,A louer des magnifiques appartements s+2 avec terrasse 📷 richement meublés et équipés de chauffage central et Wifi 📷,À Louer,80,1
Nabeul,,113,2,,A louer des magnifiques appartements s+2 avec terrasse 📷 richement meublés et équipés de chauffage central et Wifi 📷,À Louer,80,1
