Localisation,Configuration des pièces,Superficie,Chambres,Type de bien,Annonce,Type de transaction,Prix,Salles de bains
Ariana,,140,3,,a louer s+3 rez de jardin d une villa,À Louer,1200,0
Ariana,,150,2,,Riadh el Andalous à louer s+2 étage villa,À Louer,900,0
Ariana,S+1,75,1,,À louer un appartement S+1 très haut standing à Ennasr2,À Louer,950,1
Tunis,,170,3,,s+3 au jardin de Carthage,À Louer,2500,3
Ariana,,110,3,,s2 a vendre,À Vendre,255000,1
Monastir,S+1,60,1,,Marina S+1,À Louer,,1
Bizerte,,False,False,,"Réf 3062: Terrain viabilisé a Ain mariem, Bizerte.",False,280000,False
Ariana,S+1,87,1,,A VENDRE S+1 AVEC TERRASSE 30.80 À LA SOUKRA,À Vendre,290000,1
Ariana,S+1,77,1,,Appartement S+1 Direct Promoteur à La Soukra,À Vendre,312000,1
Tunis,S+4,180,3,,Appartement S+4 à loué à Ain Zaghouan,À Louer,1800,0
Tunis,S+1,50,1,,Appartement S+1 Direct Promoteur à vendre à l'aouina,À Vendre,185000,0
Ariana,S+5,300,5,,Une Villa S+5 avec piscine à vendre à La Soukra,À Vendre,970000,2
Monastir,,False,False,,Un terrain pour construction d'une villa au Golf Palm Links,False,760000,False
Tunis,S+1,70,1,,Appartement S+1 à vendre à L'Aouina,À Vendre,220000,0
Monastir,,False,False,,Terrain pour villa à la zone touristique de Monastir,False,675000,False
Tunis,S+3,266,3,,Appartement S+3 avec jardin direct promoteur à la Nouvelle Soukra,À Vendre,679000,0
Bizerte,,178,2,,"Villa à Menzel Jemil, Bizerte",À Vendre,660000,2
Tunis,,59,1,,Un Appartement s+1 direct promoteur à la Nouvelle Soukra,À Vendre,,0
Ariana,S+3,165,3,,Appartement S+3 direct promoteur à La Soukra,À Vendre,490000,0
Ariana,S+3,315,3,,Une Belle Villa S+3 avec piscine à La Soukra,À Louer,4300,0
Monastir,,180,3,,Un S plus Trois meublé  Haut Standing,À Louer,1700,1
Ariana,S+1,80,1,,Un Appartement S+1 Meublé près du Parc à La Soukra,À Louer,1350,0
