Type de bien,Localisation,Annonce,Configuration des pièces,Type de transaction,Salles de bains,Superficie,Prix,Chambres
,Sousse,Étage de luxe à Chott mariem - Sousse,,À Louer,2,1,2500,3
,Tunis,A louer un très bel appartement 2 pièces et salon,,À Louer,2,93,1350,2
,Ariana,Joli appt dans une resid sur la rt principal de raoued,,À Vendre,1,100,160000,4
,Tunis,S+3 A louer,S+3,À Louer,2,145,1100,3
,Ariana,A  LOUER UN APPARTEMENT S+3 HAUT STANDING A NKHILLETTE ARIANA,S+3,À Louer,2,240,1300,3
,Tunis,a louer s+1 a la nouvelle soukra,,À Louer,1,False,1100,1
,Tunis,A vendre des appartements direct promoteur haut standing a la nouvelle soukra,,À Vendre,1,1,,1
,Tunis,a vendre s1 s2 a la nouvelle soukra,,À Vendre,False,False,,False
,Tunis,APPARTEMENT A LOUER S+1 A AIN ZAGHOUAN,S+1,À Louer,1,70,1100,1
,Sousse,villa indépendante pour la location annuelle,,À Louer,1,300,1400,3
,Tunis,À vendre lot de terrain,,False,False,False,600,False
,Ben Arous,Appt S+2 Cité Mohammed Ali Rades,S+2,À Louer,1,70,630,3
,Tunis,Bureau en 4 espaces-100m²-CUN-IFCU125,,À Louer,0,100,2000,4
,Tunis,Un Superbe duplex S+3 avec entrée indépendante à Menzah 9,S+3,À Louer,2,200,2000,3
,Tunis,Bureau en 3 espaces-110m²-CUN-IFCU134,,À Louer,0,110,2167,3
,Ariana,Appart S+2 vide à Ennasr 2,S+2,À Louer,1,100,1050,2
,Tunis,a vendre s+1 direct promoteur remise de clé immédiate tel 95108000,,À Vendre,1,1,167000,1
,Tunis,opportunité a vendre s+1 a laouina,,À Vendre,1,57,165000,1
,Tunis,a vendre un s+1 a la goulette,,À Vendre,1,50,230,1
,Tunis,A vendre une maison a l'aouina,,À Vendre,False,384,700000,False
,Ariana,particulier L S1 meublé Ennasr2 pour étranger à l'année,,À Louer,1,74,1200,1
,Sousse,UN BEAU TERRAIN A CHATT MARIEM,,False,False,False,780,False
,Ben Arous,A vendre appartement S+2 près Showroom Mazda Ben Arous,S+2,À Vendre,1,100,180000,2
,Ben Arous,Site industriel à vendre dans la Z. I de Mghira,,À Vendre,2,2600,,1
,Tunis,S2 meublé proche lac2 Jardin laouina pr étranger à l'année,,À Louer,1,102,1250,2
,Tunis,A louer S+3 derrière Mosquée Ain Zaghouan Sud,S+3,À Louer,2,150,1350,3
,Tunis,A louer appartement S+1,S+1,À Louer,1,60,1000,1
,Ben Arous,A vendre terrain a ben Arous,,False,False,False,650,False
,Tunis,A vendre un terrain à chotrana 1,,False,False,False,900,False
,Tunis,Appartement à vendre à El Manar 1,,À Vendre,1,110,250000,3
,Tunis,A vendre une résidence  à construction inachevee,,À Vendre,0,590,,0
,Tunis,A vendre un appartement s+2,,À Vendre,1,112,330,2
,Ariana,Appart S+3 à Ennasr 2 coté Renée Descartes,S+3,À Louer,2,160,1150,3
,Tunis,Bureau à vendre à Lafayette,,À Vendre,2,170,,4
,Tunis,A louer un étage de villa à la marsa (jbal el khawi),,À Louer,1,180,1200,3
,Ariana,a louer un spacieux duplex à el wahat l'aouina,,À Louer,3,210,1800,5
,Ben Arous,Apparemment à louer  (50255002),,À Louer,1,98,500,3
,Tunis,a vendre s2 a ain Zaghouan avec abri voiture,,À Vendre,2,114,330000,2
,Sousse,apparttement s+2 luxe à louer à kantaoui .,,À Louer,-2,1,1500,2
,Tunis,a vendre s+3 avec parking ss a laouina,,À Vendre,2,140,315000,3
,Tunis,a vendre un magnifique appartement s3 a l'aouina cité wahat,,À Vendre,2,140,360000,3
,Sfax,Villa S+4 à Gremda km3,S+4,À Vendre,3,390,530000,4
,Tunis,A vendre terrain titre bleu,,False,False,False,,False
,Tunis,a louer duplex s+2 a jardins de laouina,,À Louer,2,130,1150,2
,Ariana,Etage de Villa Meublé Ariana supérieur,,À Louer,2,1,1650,3
,Ariana,a vendre une villa S+3 avec piscine a la soukra,S+3,À Vendre,3,300,960000,3
,Tunis,A louer un rée de chaussé S+0 semi meublé à Bhar Lazreg 1 en face Fondation BOUEBDELI 200m du Carrefour la Marsa,S+0,À Louer,1,55,450,1
,Tunis,a vendre s+1 s+2 nouvelle soukra haut standing,,À Vendre,1,61,,1
,Ariana,Etage de villa S+3 Riadh Andalous Ariana,S+3,À Louer,1,1,1000,2
,Tunis,appartement s+3 au centre urbain nord jamais habité,,À Louer,3,160,2500,3
,Tunis,Lafayette,,À Louer,1,50,850,1
,Ariana,À Vendre Terrain Borj bacouche Ariana ville,,False,False,False,1000,False
,Sousse,À LOUER ( Annuelle) un appartement S+2 non meublé avec garage situé à Kantaoui pied dans l’eau,S+2,À Louer,1,0,1100,2
,Bizerte,Terrain constructible à vendre à Manzel abd rahmen Bizerte,,False,False,False,87500,False
,Nabeul,slimen ville,,False,False,False,140000,False
,Ariana,Appart S+3 à Ennasr 2 coté Renée Descartes,S+3,À Louer,1,160,1150,3
,Ariana,Apprt S+3 À  Vendre Ariana ville,S+3,À Vendre,2,110,240,3
,Sfax,location appartement,,À Louer,1,126,550,4
,Tunis,Bureau en 2 espaces - 280m²- Lac 1- IFCL1130,,À Louer,0,280,5500,2
,Tunis,Offre de Vente  Villa S+3 à Séjooumi,S+3,À Vendre,1,376,280000,4
,Bizerte,Appartement RDC à corniche Bizerte,,À Louer,1,100,649,2
,Ben Arous,Etage de villa S+3 à Rades Meliene.,S+3,À Louer,2,170,250,3
,Tunis,SA laaouina,,À Louer,1,50,1100,1
,Ariana,Une bonne opportunité d’investir à BJEOUA2,,False,False,False,180,False
,Ben Arous,Un Appartement de 145  m² à Nouvelle Medina,,À Vendre,1,145,280000,3
,Ariana,A vendre un appartement en S+4 de 177m² à Ennasr,S+4,À Vendre,2,177,400000,4
,Sousse,"A louer s0 meublé, dans une résidence sécurisée, en face de la faculté de médecine de Sousse et de l hôpital Farhat Hached",,À Louer,1,30,650,1
,Sousse,s+2 panorama,,À Louer,False,False,550,False
,La Manouba,جميع اشغال البناء والترميم 58107044,,False,False,False,50000,False
,Monastir,Une Opportunité Immobilière Très Rentable,,False,False,False,,False
,Monastir,Espace commercial au cœur de la ville,,À Vendre,False,False,,False
,Monastir,ISIM MONASTIR,,rent,False,75.0,350,2.0
,Monastir,ESPACE DE TRAVAIL,,À Louer,4,300,,7
,Ariana,Local industriel 420m2 à Chotrana 1,,rent,2.0,420.0,2400,6.0
,Ariana,Appart S+2 neuf haut standing avec terrasse à Ennasr 2,S+2,À Louer,2,140,1500,2
,Ben Arous,appartement S+2 a vendre,S+2,À Vendre,1,100,230000,2
,Tunis,S1 neuf direct promoteur,,À Vendre,1,40,169000,1
,Ariana,S+1 A Vendre | Jardins d'El Menzeh,S+1,À Vendre,1,65,199000,1
,Tunis,S2 neuf enreg 1%,,À Vendre,1,118,327000,2
,Tunis,S2 luxe au jardin de carthage,,À Vendre,2,105,480000,2
,Tunis,Joli appartement s1,,À Vendre,1,58,183000,1
,Sousse,"(S+2) à Sahloul, Directe Promoteur",S+2,À Vendre,1,116,311500,2
,Sousse,Une ferme à vendre situé à Enfidha,,False,False,False,1500000000,False
,Ben Arous,Deux hectares à mornag,,False,False,False,270000,False
,Sousse,Bangalow à Kantaoui Marina,,À Vendre,1,47,195000,1
,Sousse,(S+1) à  Chatt Mariem Prés de la Mer,S+1,À Vendre,1,75,195000,1
,Sousse,"(S+2) à Chatt Mariem Directe Promoteur, Prés de la Mer",S+2,À Vendre,1,105,355000,2
,Sousse,Terrain  Prés  Mall  Off  Sousse,,False,False,False,60000,False
,Sousse,Terrain  à Chatt  Mariem Vue de  Mer,,False,False,False,350000,False
,Ben Arous,Villa Meublée a boumhel bel air,,À Louer,3,900,3500,4
,Sousse,(S+3) à  Cité Riadh  5,S+3,À Vendre,2,107,125000,3
,Tunis,appartements et garages commerciaux,,À Vendre,03,637,850,05
,Sousse,S+2 en vente a chott mariem,S+2,À Vendre,1,81,217998,2
,Sousse,S1 pied dans l'eau avec une vue sur mer,,À Vendre,1,49,220000,1
,Tunis,vente lot de terrain Diar Ben Mahmoud Agba Tunis,,False,False,False,650,False
,Tunis,s+1 s+2 direct promoteur nouvelle soukra,,À Vendre,1,59,176000,1
,Tunis,a vendre s+1 s+2 s+3 direct promoteur nouvelle soukra,,À Vendre,1,80,305000,2
,Sousse,s2 pied dans l'eau en vente,,À Vendre,1,80,280000,2
,Sousse,Terrain habitation a vendre a chott mariem,,False,False,False,115000,False
,Ariana,🏠 Cité ENNASR ; 𝐚̀ 𝐋𝐎𝐔𝐄𝐑 𝐀𝗽𝗽𝘁 𝐒+1 Haut stg🏠,,À Louer,1,70,,1
,Ariana,🏠 Ennasr 2 ; à LOUER grande 𝐕𝐢𝐥𝐥𝐚 avec jardin 🏠,,À Louer,2,250,2300,4
,Ariana,🏠 𝐄𝐍𝐍𝐀𝐒𝐑 ; 𝐚̀ 𝐋𝐎𝐔𝐄𝐑 𝐣𝐨𝐥𝐢 𝐀𝗽𝗽𝘁 𝐒+𝟐 𝐇𝐚𝐮𝐭 𝐬𝐭𝐚𝐧𝐝𝐢𝐧𝐠 🏠,,À Louer,2,130,,2
,Ariana,ENNASR 2 ; à LOUER VILLA S+6 AVEC JARDIN,S+6,À Louer,3,300,2399,6
,Ariana,🏠 Ennasr 2 ; à LOUER  grande 𝐕𝐢𝐥𝐥𝐚 avec jardin 🏠,,À Louer,2,240,,5
,Tunis,La marsa,,À Louer,2,90,950,3
,Sfax,Appartement S+3 meublé à Route de Tunis km1.5,S+3,À Louer,2,165,1800,3
,Ben Arous,Bureau S2,,À Louer,1,60,,2
,Tunis,vente appartement s+1 avec Titre Foncier,,À Vendre,1,50,86000,2
,Tunis,Ain zaghouan,,À Louer,2,90,1050,2
,Sousse,Villa de construction moderne et récente à Hergla,,À Louer,0,300,2500,4
,Médenine,Terrain à jerba 1175m,,False,False,False,,False
,Tunis,Fond de commerce   a vendre ou gérance libre,,À Vendre,1,50,55,2
,Sousse,ارض للبيع,,False,False,False,,False
,Sousse,Magnifique Apprt S2 bien meublé hautstanding 53260713 vue mer,,À Louer,1,80,80,2
,Tunis,vente Bureau THS À Montplaisir,,À Vendre,0,74,305000,3
,Sousse,Locations par nuitées 53260713,,À Louer,1,70,60,2
,Ben Arous,À VENDRE TERRAIN D’ANGLE AV DE FRANCE À RADES MONGIL,,À Vendre,1,1279,1900000,4
