Type de bien,Localisation,Annonce,Configuration des pièces,Type de transaction,Salles de bains,Superficie,Prix,Chambres
,Tunis,à Vendre une villa à démolir ou à rénover à El Menzah 1,,False,False,False,1800000,False
,Nabeul,S+2 vide à Yasmine Hammamet,S+2,À Louer,1,100,1000,2
,Ben Arous,Une villa à louer à Boumhel,,À Louer,0,280,3000,4
,Tunis,à Vendre un appartement s2 à Gammarth,,À Vendre,0,140,385000,2
,Sousse,3 lots à Hergla,,False,False,False,89870,False
,Sousse,Une senia à vendre situé à Enfidha,,False,False,False,500000,False
,Sousse,S+2 à Sahloul 4,S+2,À Vendre,12,100,310000,2
,Sousse,500 m² à Akouda,,False,False,False,95000,False
,Sousse,"Terrain prés Mall,Sousse",,False,False,False,,False
,Sousse,Studio chatt mariem,,À Vendre,1,60,150000,1
,Sousse,Ferme à Baloum,,False,False,False,,False
,Sousse,Appartement  à Sahloul,,À Vendre,1,120,310000,3
,Sousse,location vacances,,À Louer,1,80,,2
,La Manouba,terrain a vendre,,False,False,False,32,False
,Sousse,شقق لكراء,,À Louer,1,78,,2
,Tunis,Dar Cosmito - Maison de charme meublée – à louer à La Marsa Ville - Courte ou Longue Durée,,À Louer,1,160,170,3
,Sousse,باليوم و الاسبوع,,À Louer,1,110,,2
,Sousse,S1 S2 meublé,,À Louer,1,112,,2
,Sousse,location estivale,,À Louer,1,180,,2
,Sousse,"لكراء في سوسة باليوم و الاسبوع 
22707177
Une bonne affaire pour profiter des vacances a sousse 
🏩A louer  par nuitée",,À Louer,1,102,,2
,Sousse,vue sur mer,,À Louer,1,89,,2
,Sousse,location vacances,,À Louer,1,80,,2
,Sousse,location vacances,,À Louer,1,90,,2
,Ariana,A VENDRE S+1 – CHOTRANA 1 – TEL 58713586 – FB.7130,S+1,À Vendre,1,65,165000,1
,Sousse,par nuitée,,À Louer,1,70,,2
,Sousse,Appartement S+2 - Sousse - Corniche,S+2,À Louer,1,85,120,3
,Tunis,"Micro-Studio ""S0"" à La Marsa, à louer meublé pour courte ou longue durée.",,À Louer,1,16,80,1
,Ben Arous,S+1 à louer à Mourouj 6,S+1,À Louer,1,100,650,1
,Ben Arous,Villa à vendre à cité hidhab fouchana,,À Vendre,4,440,550,8
,Ariana,🏠 𝐄𝐍𝐍𝐀𝐒𝐑 ; 𝐚̀ 𝐋𝐎𝐔𝐄𝐑 𝐣𝐨𝐥𝐢 𝐀𝗽𝗽𝘁 𝐒+𝟐 𝐇𝐚𝐮𝐭 𝐬𝐭𝐚𝐧𝐝𝐢𝐧𝐠 🏠,,À Louer,2,130,1500,2
,Tunis,A louer un bureau H3 à l'Aouina,,À Louer,1,120,1400,2
,Ariana,Terrain Vitatop  Soukra,,False,False,False,480,False
,Tunis,Deux locaux commerciaux à Omrane superieur,,À Vendre,2,252,500000,2
,Ben Arous,S+1 à louer à hay hidhab fouchana,S+1,À Louer,1,60,450,1
,Nabeul,Terrain d’habitation à 400 mètres plage Ezzahra hammam el ghzez,,False,False,False,170000,False
,La Manouba,Appartement S+3 à vendre à Cité Al-Amal La Manouba,S+3,À Vendre,1,101,220000,3
,Tunis,A louer joli appartement S2 à rue madride centre ville résidence bien sécurisé,,À Louer,1,100,900,2
,Ariana,À louer dépôt de stockage à nkhilette ariana,,À Louer,0,122,,1
,Nabeul,S+2 Vue de Mer dans une résidence Haut standing  avec piscine   à AFH Mrezga Nabeul.,S+2,À Vendre,2,140,470000,2
,Tunis,Appartement S+2 a vendre a khaznadar bardo 95000d,S+2,À Vendre,1,65,95000,3
,Ariana,a vendre appartement s+1 au RDC  avec terrasse et parking ss a menzah 7bis,,À Vendre,1,71,220000,1
,Tunis,Superbe appartement S+2 à vendre,S+2,À Vendre,1,88,240000,3
,Sfax,A vendre un terrain de 3 hectare a agereb el mahrouga,,False,False,False,75,False
,Ariana,Local commercial à louer à  Cité El Ghazela proche de la municipalité,,À Louer,0,38,750,1
,Ben Arous,Maison à 2etage à fouchana,,À Vendre,3,85,160000,8
,Tunis,maison S+2 luxieusement meublée à Menzah 9 B,S+2,À Louer,1,100,2500,2
,Tunis,appartement meublé à louer par jour à bardo,,À Louer,1,75,70,2
,Sousse,(S+2) Jamais Habité à  Sousse avec Place de Parking au Sous Sol,S+2,À Louer,1,91,750,2
,Bizerte,Porte ferforgée,,False,False,False,,False
,Sousse,(S+3) à Sahloul Directe Promoteur,S+3,À Vendre,3,165,420000,3
,Sousse,"Terrain à Bouhsina , destiné  Pour une Promotion  Immobilière",,False,False,False,860000,False
,Sousse,"(S+2) à Cité Riadh , dans un Quartier Calme",S+2,À Vendre,1,100,180000,2
,Sousse,Local Commercial (300 m² )  à Cité  Riadh 1,,À Louer,0,300,4500,1
,Tunis,Pour vos vacances - Location par jour a la Marsa - Le Bungalow (Studio Meublé S0) Standing et bien équipé - Marsa Corniche – Prés de la mer et du lycée Français.,,À Louer,1,50,120,1
,Ariana,Appartement S+1 à louer à ariana,S+1,À Louer,0,80,1100,1
,Tunis,Un étage de Villa à louer à Ain Zaghouan Sud,,À Louer,False,False,,False
,Jendouba,مستودع للكراء,,False,False,False,1700,False
,Ben Arous,Terrain 316m à cité el hidhab,,False,False,False,750,False
,Tunis,s+1 à louer aux jardins de carthage,,À Louer,1,72,1100,1
,Sousse,Appartement à vendre,,À Vendre,1,88,285000,1
,Ariana,Open space- 300m² - charguia 1 - IFCC129,,À Louer,0,300,3500,2
,Ariana,Open space à louer -80m² - charguia 2 - IFCC70,,À Louer,0,80,3889,1
,Ariana,belle studio,,À Louer,0,40,240,1
,Ariana,Bureau en 3 espaces -84m²- Ariana -IFCA119,,À Louer,0,84,1335,3
,Nabeul,Villa avec piscine pieds dans l’eau à plage Kerkouene,,À Vendre,False,1085,600000,False
,Tunis,Appart S1 Nirva meublé à Louer à Ain Zaghouan Nord,,À Louer,1,100,2200,1
,Sousse,Appartement à louer à sahloul 4,,À Louer,0,100,1000,2
,Sousse,Appartement à louer Siab khzema,,À Louer,0,85,650,2
,Sousse,Spacieux Appartement S+3 + Studio dans une Résidence R+1 fait l'angle,S+3,À Vendre,0,300,,3
,Tunis,RDC S3 Avec Grand Jardin à Louer à L'Aouina,,À Louer,2,300,1400,3
,Ben Arous,À louer appartement S+1 HST meublé à Mrj 6 / 98380449,S+1,À Louer,1,65,,1
,Tunis,Bureau en 4 espace -82-Tunis - IFCT234,,À Vendre,0,82,220000,4
,Ariana,"un s+2 de 99m², Soukra",,À Vendre,0,99,420000,2
,Ariana,s0 avec garage et meuble a ennasser,,À Louer,01,40,155000,01
,Médenine,terrain a Djerba,,False,False,False,520000,False
,Tunis,opportunité au berges du lac,,À Vendre,1,150,,6
,Tunis,A louer appartement S+2 à Jardins de l'aouina,S+2,À Louer,1,150,1100,2
,Ariana,étage de villa cité El faouez,,À Louer,3,200,1800,3
,Tunis,Appart S2 Linaz meublé à Louer à Ain Zaghouan,,À Louer,1,120,2100,2
,Ariana,s+1 ennasr,,À Louer,1,50,900,1
,Tunis,Appart S1 Linar meublé à Louer à Ain Zaghouan,,À Louer,1,60,1700,1
,Ben Arous,À vendre appartement S+2 HST Mrj 6 / 98380449,S+2,À Vendre,1,110,220000,2
,Tunis,Bureau en 6 espaces- 270m²- Lac 1 -IFCL1268,,À Louer,0,270,5500,6
,Ariana,s 3 meublé,,À Louer,2,150,1800,3
,Ariana,appartement s4 ennaser,,À Louer,03,160,1400,04
,Ariana,s4 riadh andalos,,À Louer,02,120,1248,2
,Ariana,étage de villa RDC a usage habi/bur entrée indep,,À Louer,02,180,1500,03
,Sfax,Bureau de cadre professionnel,,False,1,70,230,3
,Ben Arous,Villa Taym à Vendre à Bir Kassaa,,À Vendre,5,350,550000,6
,Tunis,À Louer : Un Studio de Luxe Indépendant à Notre Dame,,À Louer,1,60,2000,1
,Tunis,Un local commercial à Manar 3,,À Louer,0,74,2500,2
,Ariana,Alouer un appartement en S+2 à Jardins Menzah 2,S+2,À Louer,2,151,1250,2
,Tunis,A louer un appartement S+3 à Menzah 9A,S+3,À Louer,1,85,1250,2
,Sousse,Un appartement s+2 à louer situé à Bohsina,,À Louer,1,120,1200,1
,Ariana,Un magnifique S+2 à vendre à Jardins Menzah 2,S+2,À Vendre,1,125,420000,3
,Ariana,"un bureau H+2 de100m², Soukra",,À Louer,0,100,2000,0
,Sousse,TERRAIN R+4 A 📍 HERGLA,,False,False,False,800,False
,Ariana,Hammam et villa tel 98267743,,À Vendre,2,1100,,6
,Sousse,TRES BEAU TERRAIN A 📍 HERGLA COTE PLAGE,,False,False,False,1000,False
,Ariana,🏠 ENKILETTE ; 𝙖̀ 𝙡𝙤𝙪𝙚𝙧  villa 𝙎+4  avec jardin🏠,,À Louer,2,180,950,4
,Ariana,Immeuble Aurora à Vendre à Jaafer 1,,À Vendre,1,150,400000,3
,Ben Arous,Usine Céleste à Vendre à Rades,,À Vendre,1,1250,1250000,7
,Tunis,A vendre appartement s+2 haut standing à cité Wahat,,À Vendre,2,120,335000,2
,Ben Arous,Terrain de 550 m² à Ezzahra,,False,False,False,1100,False
,Nabeul,A_vendre deux appartement situé a hammamet nord,,À Vendre,1,60,,2
,Sousse,Un studio s+1 à louer situé à khzema ouest,,À Louer,1,80,600,1
,Ariana,Un s1 vide à soukra,,À Louer,0,70,1100,1
,Tunis,"à vedre un S+1 à citée Ettahrir, dérrière kiosk Shell",S+1,À Vendre,1,46,80000,2
,Sousse,VILLA DE COIN R+1 A DÈMOLIR POUR CONSTRUIRE UNE IMMEUBLE R+4 AU CORNICHE,,False,False,False,750000,False
,Monastir,أرض فلاحية للبيع بالمنستير🌳🔥,,False,False,False,,False
,Sousse,Un luxueux appartement à louer situé à sahloul 2,,À Louer,1,135,1100,-1
,Sousse,TRÈS BEAU TERRAIN DE COIN VUE MER PRÈS DE MAYTEK AKOUDA,,False,False,False,380,False
,Monastir,Terrain habitation 505 m²,,False,False,False,358000,False
,Sousse,DES TERRAINS VUE SUR MER A📍RMILA PRES DE MALL OF SOUSSE,,False,False,False,370,False
,Nabeul,A vendre Spacieux S+1 Direct Promoteur dans une résidence avec piscine à vendre à AFH2 Mrezga Nabeul,S+1,À Vendre,1,70,260000,1
,Sousse,TRÈS JOLIE TERRAIN DE COIN A⛔HAMMEM SOUSSE,,False,False,False,365000,False
,Sousse,Un appartement s+2 à louer situé à sahloul 2,,À Louer,1,135,1100,2
,Sousse,UNE SUPERBE VILLA AVEC PISCINE 💎A CHATT MARIEM,,À Vendre,4,8900,3700000,4
,Sousse,TRÈS BELLE VILLA DE 434 m² SUR DEUX FACADE PRÈS DE CARREFOUR❤AKOUDA,,À Vendre,2,434,320000,4
,Ben Arous,Appartement s+3 à RADES MELYEN,,À Louer,1,120,1200,2
,Sousse,Un appartement s+2 à louer situé à sahloul 4,,À Louer,1,120,1000,2
,Tunis,Bureau en 5 à louer - 400m²- Lac 2- IFCL295,,À Louer,0,400,11666,5
,Tunis,A louer pour usage bureautique A+3,,À Louer,1,90,600,3
,Monastir,Maison jumelé,,False,3,260,350000,5
,Ben Arous,Appart S3 Catrine à Vendre à Ben Arous,,À Vendre,1,135,240000,3
,Tunis,A louer des open space neufs aux Berges Du Lac 3,,À Louer,4,418,7665,1
,Tunis,A louer villa meublée ou vide avc jardin et piscine à Notre Dame,,À Louer,4,450,7000,5
,Tunis,A louer villa 3 niv ac piscine usg bur ou hab Mutuelleville,,À Louer,4,500,7000,2
,Tunis,A louer immeuble 4 niv 1180 m² 40 pièces au Lac 1,,À Louer,8,1180,23700,0
,Tunis,A louer plateau sup 257 m² au centre urbain nord,,À Louer,3,257,6000,0
,Tunis,Bureau en 3 espaces - 80m²-Tunis- IFCT277,,À Louer,0,80,1250,3
,Tunis,A louer plateau sup 250m² haut standing au lac 1,,À Louer,4,250,9400,0
,Tunis,A louer des bureaux neufs en H4 Centre Ville Tunis,,À Louer,2,150,2500,4
,Tunis,A louer un rez de jardin meublé pour uniquement deux personnes à El Manar 3,,À Louer,1,70,1000,2
,Tunis,A Louer duplex meublé avc terrasse à Menzah 9C,,À Louer,2,200,3500,3
,Ariana,A vendre Terrain 7774 m2 à la Soukra,,False,False,False,,False
,Tunis,A louer immeuble 9 niv 3900 m² au Centre ville Tunis,,À Louer,35,3900,87500,0
,Ariana,A louer villa de maître 12 pièces sup 750m² à El Menzah 5,,À Louer,6,1400,9500,14
,Tunis,A louer S3 meublé avec Terrasse à El Menzah 4,,À Louer,2,200,3700,3
,Tunis,A louer plateau 662 m² en open space a Montplaisir,,À Louer,2,662,15723,False
,Tunis,A louer immeuble neuf superficie  1235 m² au Belvédère,,À Louer,21,1235,25730,0
,Tunis,A louer appt neuf habitation ou bien bureau à Alain Savary,,À Louer,1,93,1500,3
,Tunis,A louer Hall 2 pièces vide à Louis Braille,,À Louer,1,75,1500,2
,Tunis,A louer immeuble R6 1400 m² au Centre Ville.,,À Louer,12,1200,25000,12
,Tunis,A louer un local commercial 311 m² a Av Mohamed 5,,À Louer,2,311,6500,2
,Tunis,A louer un local commercial 362 m² a Av Mohamed 5,,À Louer,2,362,7500,2
,Tunis,A louer un plateau 400m²en open space a Lafayette.,,À Louer,2,400,4000,2
,Tunis,A louer Villa avec jardin et piscine à El Menzah 1,,False,False,False,7500,False
,Tunis,A vendre bureau moderne h2 à Montplaisir,,À Vendre,1,69,250000,2
,Tunis,A louer Immeuble bureautique R4 à Montplaisir,,À Louer,8,500,7200,8
,Tunis,A vendre Bureau moderne au Centre Urbain Nord,,À Vendre,2,424,1550000,0
,Ariana,Open space avec des bureaux-650m²-charguia2-IFCC146,,À Louer,0,650,12000,4
,Tunis,appart moderne au jardin de carthage par nuit ou semaine,,À Louer,1,66,105,1
,Tunis,à vendre une villa de deux étages,,À Vendre,2,400,750000,4
,Tunis,A LOUER UN APPARTEMENT S+1 HAUT STANDING JAMAIS HABITE A CITE L WAHAT,S+1,À Louer,1,60,1000,1
,Nabeul,À Vendre Magnifique Penthouse à Nabeul Mrezga,,À Vendre,2,366,,3
,Tunis,A louer studio meublé 25 m² au Centre ville Tunis,,À Louer,1,25,850,1
,Ariana,Dépôt  à louer à Charguia 2,,À Louer,1,1500,,1
,Ariana,À VENDRE DES APPARTEMENT À CHOTRANA 1,,À Vendre,1,183,,3
,Ariana,"un s+1 meublé, chotrana1",,À Louer,0,60,1500,1
,Ariana,"s+1 de 65m², chotrana 1",,À Louer,0,65,1200,1
,Nabeul,A vendre une villa avec piscine à Kerkouane,,À Vendre,2,530,650000,0
,Tunis,Location villa individuelle s3 au Bardo,,À Louer,1,160,1700,3
,Sousse,"Un studio en RDC à louer à hammem sousse, bhaier ( près du collège bhaier)",,À Louer,1,50,450,-1
,Tunis,appartement lac 2 et a jardin de Carthage,,À Louer,1,65,130,1
,Sfax,Vente S+1 Lux   من باعث عقاري,S+1,À Louer,1,84,210000,1
,Sfax,apparemment à vendre,,À Vendre,2,181,,3
,Ben Arous,Local Industriel à Rades- 93974850,,À Louer,2,2500,,3
,Ben Arous,a vendre un appartement S2 avec place parking sous sol a la nouvelle medina,,À Vendre,2,102,250000,2
,Nabeul,A Vendre S+1 de très haut standing à Vendre au 6 eme étage dans une résidence gardée et sécurisée à AFH Mrezga Nabeul.,S+1,À Vendre,1,137,350000,1
,Ariana,A louer villa moderne 830m² ac jardin S5 à la Soukra,,À Louer,5,830,4000,5
,Sfax,Terrain a vendre,,False,False,False,28000,False
,Ben Arous,A VENDRE,,False,False,False,112000,False
,Tunis,MAISON A VENDRE,,À Vendre,1,120,50000,3
,Tunis,Cabinet dentaire a vendre bardo centre,,À Vendre,False,False,24,False
,Ben Arous,"À vendre un appartement s+2 Haut Standing à Madina Jadida côté carrefour 
✅chauffage central 
✅place parking sous-sol 
✅salle d’eau et salle de bain 
👉🏻Superficie 125 m2 
👉🏻papier en règle 
Prix 260.000Dt 
☎️Num tel et whsatsap 
28 700 810",,À Vendre,2,125,260000,3
,Ben Arous,"𝗢𝗽𝗽𝗼𝗿𝘁𝘂𝗻𝗶𝘁𝗲́ à vendre : une villa 𝐢𝐧𝐝𝐞́𝐩𝐞𝐧𝐝𝐚𝐧𝐭𝐞 située à Ezzahra, avec une superficie de 504 m². 𝗣𝗿𝗶𝘅 : 𝟯𝟴𝟬 𝟬𝟬𝟬 𝗗𝗧.
 Tel et whatsapp : 28 700 810.""",,À Vendre,2,504,380000,3
,Ben Arous,"😍Opportunité : à vendre un appartement s+2 en #rez_de_chaussée à ezzahra côté voilier avec #entrée_indépendante 
✅Papier en règle 
✅chauffage centrale 
✅dressing 
👉🏻Superficie couverte 98 m2 
Prix 205 MD
☎️ Tel et whatsapp 
28700810",,À Vendre,2,98,205000,2
,Ben Arous,"PARTICULIER (À louer ou à vendre)
🏭Bâtiment industrielle en dur à #mghira_2 (fouchana)de 3000 m2 en 2 etages(1500+1500) sur un terrain de 4200 m2  avec possibilité d'extension 
➖️Dalle industrielle 
    Equipement:
➖️Transfo 450 kva
➖️Gaz de ville 
➖️REA et surpresseur avec bâche a eau
➖️Hauteur utile du bâtiment 6m et 4m etage
⚜️Administration moderne de 200m2 bloc social
➖️Convient pour: Dépôt ,usine manufacturière",,À Vendre,1,4200,5,2
,Ariana,bon affaire à mnihla (3 min a monoprix jardin el menzah),,À Vendre,2,171,330000,3
,Sfax,"Location S+3 meublé route de Tunis km1,5",S+3,À Louer,2,175,1800,3
,Ben Arous,"فرصة استثمارية دخل_قار اقل حاجة 3000د كراء . و سعر البيع 360.000د قابل لنقاش و بدون_وسيط (المالك مباشرة ) و سبب البيع السفر . في نعسان طريق مرناق 
زوز دبوات (واحد منهم مكري )
و 4 شقق فوقهم (1 شقة موش كاملة  )
مساحة الارض 350م²
اوراقها مريقلة 
للمهتمين يكلموني 
55511227
سماسرة و اجونس من غير متكلموني يباركلكم",,À Vendre,1,700,360000,10
,Monastir,Terrain à vendre à Monastir🔥,,False,False,False,,False
,Ben Arous,"فرصة اصل تجاري للبيع في #الزهراء كراه 300د فقط 
الموقع مقابل مدرسة فرحات حشاد 
المساحة 45م²
البيع بدون وسيط
☎️الهاتف و واتساب 
22265644",,À Vendre,1,45,25000,1
,Tunis,A VENDRE – FOND DE COMMERCE – LAC 1 – TEL 58258514 – FB.7207,,False,False,False,550000,False
,Sfax,للبيع شقة بالحديقة,,À Vendre,2,130,360000,3
,Sousse,Appartement meublé,,À Louer,1,50,500,2
,Ben Arous,Villa  à Cité Hidhab,,À Vendre,False,430,430,False
,Ariana,"أرض 1236م² للبيع في شطرانة1 
➖️امكانية تقسيمها 3 او 4 قطع 
🔹️كل الاوراق القانونية موجودة 
سعر الم² 220د قابل لنقاش
☎️لأكثر استفسار من المالك الهاتف او واتساب  
93009351",,False,False,False,,False
,Ben Arous,"À vendre un appartement s+2 en #Rez_de_chaussée à madina jadida côté carrefour 📌
👉🏻Superficie 78 NET 
Prix demandé 135MD",,À Vendre,1,78,135000,2
,Sfax,إستيدو مأثث نظيف,,À Louer,1,50,900,1
,Tunis,Bureau en 5 espaces -80m²-Tunis- IFCT295,,À Louer,0,80,935,5
,Tunis,A Louer Etage de Villa en S+5 au Lac 2,S+5,À Louer,3,350,3500,5
,Sfax,Maison à  Louer ou à  vendre,,À Louer,1,400,,1
,Tunis,Agréable et lumineux studio récemment construit proche des commodités entre le bardo et cité ezouhour 1,,À Louer,1,60,350,2
,Ben Arous,appartement 1er etage,,À Louer,1,70,500,3
,Bizerte,Villa individuelle en vente à Bizerte,,À Vendre,5,787,2200000,6
,Ariana,Villa prés de René Descartes,,À Louer,2,420,2400,6
,Sousse,(S+2) à Sahloul Directe Promoteur,S+2,À Vendre,2,111,303900,2
,Ariana,"Riadh al Andalous, à louer appt S+3",S+3,À Louer,1,0,,3
,Sousse,(S+1) à Sahloul Directe Promoteur,S+1,À Vendre,1,70,240000,1
,Ben Arous,Terrain Aness à Vendre à Chouchet Rades,,False,False,False,980000,False
,La Manouba,Terrain a vendre,,False,False,False,65,False
,Sousse,S2 proche de la mer en vente a chott mariem,,À Vendre,1,83,338000,2
,Tunis,A louer Bureau neuf sur Av Alain Savary,,À Louer,1,55,1800,2
,Tunis,Rez-de-jardin en S+1 à El Manar I,S+1,À Louer,1,72,900,1
,Tunis,Bureau en 4 espaces -120m²-Tunis- IFCT166,,À Louer,0,120,1000,3
,Ariana,🌟 🌟ENNASR 2 ; à louer appt S+2 Bien situé🌟 🌟,S+2,À Louer,2,110,,2
,Ariana,a louer rez de jardin villa a usage bureautique,,À Louer,2,150,,3
,Mahdia,mahdia à vendre terrain habitation,,False,False,False,,False
,Sousse,un spacieux bureau A+3 sur la route principale gp1,,À Louer,1,150,1200,3
,Ariana,a louer etage villa s+4 jardin del menzah 1,,À Louer,2,220,,4
,Ariana,a louer rez de jardin usage bureautique,,À Louer,2,150,1200,3
,Ariana,Riadh el Andalous à louer s+2 semi meuble,,À Louer,1,60,600,2
,Nabeul,A vendre à Hammamet une grande maison de campagne,,À Vendre,3,1500,480000,3
,Tunis,A louer une villa avec ascenseur 3 étage à manar 1,,À Louer,5,350,3700,6
,Tunis,A vendre villa manar1,,À Vendre,4,400,750000,8
,Tunis,à louer une superbe villa de deux étages,,À Louer,4,450,3200,4
,Bizerte,S+2 en vente,S+2,À Vendre,1,88,210000,2
,Sousse,Studio en vente dans une résidence avec piscine,,À Vendre,1,40,130000,1
,Sousse,Maison indépendante pour la location annuelle,,À Louer,1,220,1600,3
,Ariana,A VENDRE - S+3 - RUE DU PARC -  50362627 - FB.3634,S+3,À Vendre,2,150,340000,3
,Bizerte,Terrain habitation ind. en vente,,False,False,False,315000,False
,Bizerte,Terrain habitation ind. en vente,,False,False,False,800800,False
,Sousse,Terrain à vendre HECTARE 4750 m² à zitountinne kalaa ekbiraa-,,False,False,False,190000,False
,Bizerte,Terrain habitation ind. en vente,,False,False,False,900000,False
,Tunis,A louer s2 hst au bardo,,À Louer,1,100,900,2
,Tunis,A louer plateau 308 m² en H9 au Berges Du Lac 1,,À Louer,3,308,6500,9
,Tunis,A LOUER – S+2 – LAC 2 – TEL 58713586  – FB.7127,S+2,À Louer,1,120,1800,2
,Tunis,A louer Villa S4 avc piscine aux berges du lac 2,,À Louer,2,595,11000,4
,Bizerte,Terrain proche de la mer,,False,False,False,79000,False
,Tunis,appartement s+1,,À Louer,1,70,110,1
,Ariana,À vendre un appartement en s+3 au 3 ème étage avec ascenseur,,À Vendre,2,136,,3
,Tunis,A louer s+1 Karim cité l Office  57 161 244,,À Louer,1,70,650,2
,Tunis,A Vendre : Villa R+2 Haut Standing à Cité el Ferdaous - Bardo,,À Vendre,5,411,1050000,8
,Tunis,Terrain Promoteur Angers à Vendre à Kheireddine,,False,False,False,1400000,False
,Tunis,Super Immeuble bureautique 2100 m² au lac 2,,À Louer,20,2100,52000,50
,Sousse,un joli appartement s+3 à sahloul,,À Louer,1,130,1300,3
,Tunis,a louer studio haut standing neuf meublé a l'aouina,,À Louer,1,40,1250,1
,Tunis,A louer : S+2 au Bardo II,S+2,À Louer,1,70,780,2
,Tunis,A VENDRE S+2 – JARDINS DE CARTHAGE – TEL 56306032 – FB.6078,S+2,À Vendre,1,112,570000,2
,Tunis,Bureau Murino à Vendre à Montfleury,,À Vendre,1,85,160000,1
,Tunis,A VENDRE S+2 – BHAR LAZREK – TEL 56306032 – FB.7148,S+2,À Vendre,1,97,340000,2
,Ben Arous,Nouvelle-Offre📢 #A-VENDRE 🔥🔥#S+2 avec une superficie de 122m².,S+2,À Vendre,2,122,230000,2
,Ben Arous,Offre-de-location A-Louer S+3 premier étage,S+3,À Louer,2,134,1000,3
,Ben Arous,📢 Appartement S+2 à Vendre Tecnocasa Nouvelle Medina 3 met en #Vente un #appartement S+2,S+2,À Vendre,2,100,150001,2
,Ben Arous,Tecnocasa Nouvelle Medina  met en #vente   un #appartement  S+3 avec une superficie de 127m².,S+3,À Vendre,2,127,240000,3
,Nabeul,A Vendre : Un S+4 avec une belle vue dégagée sur Mer à AFH Mrezga Nabeul,S+4,À Louer,4,230,660000,4
,Sousse,Bureau (appartement) à louer,,À Louer,1,False,,2
,Monastir,Appartement Haut standing  pour saison universitaire💡,,À Louer,1,False,,2
,Nabeul,location jusqu'au juin : S+2 chauffé avec place de parking sous sol à AFH Mrezga Nabeul,S+2,À Louer,1,95,,2
,Monastir,A Louer pour les vacances :,,À Louer,1,68,,2
,Ben Arous,Un terrain de 636m côté carrefour,,False,False,False,2000,False
,Ben Arous,Un appart s2  hst au rdc  jamais habité,,À Louer,3,110,750,1
,Ben Arous,Un appart s+3 à Ezzahra,,À Louer,2,120,1200,3
,Ben Arous,Une très belle villa à Boumhal Bassatine,,À Vendre,2,440,550000,4
,Tunis,A louer plateau 300 m² au Belvédère Tunis,,À Louer,4,300,7000,0
,Monastir,Villa à louer à Skanes,,À Louer,False,600,,False
,Tunis,🏠Appartement S+2 avec jardin à La Marsa,S+2,À Louer,1,125,1500,2
,Ben Arous,Un Appartement s+3 au rdc à Boumhal Bel Air,,À Louer,2,150,1400,3
,Monastir,Appartement à louer pour longue durée :🔥🔝,,À Louer,1,150,,3
,Nabeul,Appartement S+2 Yasmine hammamet,S+2,À Louer,2,120,100,2
,Sousse,Terrain a vendre khezema Ouest,,False,False,False,1250,False
,Ariana,Terrain Promoteur Locah à Vendre à Cebalat Ben Ammar,,False,False,False,2500000,False
,Tunis,vente ariana bureau a 5mn metro,,À Vendre,1,100,190000,2
,Ariana,vente soukra terrain pour ecole,,False,False,False,2160000,False
,Ariana,vente ennasr2 s+2 coté clinique amilcar,,À Vendre,1,112,299000,2
,Ariana,location ennasr2 s+3  meublé terrasse vue panoramique,,À Louer,3,180,3499,1
,Tunis,location montfleury  s+3 grand bureaux haut standing,,À Louer,2,185,1800,4
,Tunis,Villa bureautique a louer à Mutuelle Ville,,À Louer,4,500,6500,5
,Tunis,Appartement s+4 à Alain savary,,À Vendre,2,165,385000,5
,Tunis,bureau a vendre  à Alain savary,,À Vendre,2,137,379000,3
,Ariana,Appartement s+3 a vendre à La Soukra,,À Vendre,2,147,540000,3
,Tunis,Villa  a vendre à El Menzah 9B,,À Vendre,2,550,970000,8
,Tunis,Appartement a vendre à cité olympique,,À Vendre,1,110,255000,1
,Tunis,Espace de bureaux meublés,,À Louer,2,100,750,1
,Tunis,Appartement s2 a vendre à Ain Zaghouan nord,,À Vendre,2,131,486000,3
,Tunis,Appartement s1 a vendre à Ain zaghouan nord,,À Vendre,1,63,340000,1
,Tunis,Duplex s+4 a vendre à Ain zaghouan Nord,,À Vendre,3,236,1100000,2
,Tunis,Appartement s+2 a vendre à Ain zaghouan nord,,À Vendre,2,198,710000,2
,Tunis,villa a louer à Mutuelle Ville,,À Louer,3,400,4200,3
,Tunis,Appartement s+1  a louer à Ain Zaghouan Nord,,À Louer,1,70,1700,1
,Tunis,Appartement s+2 a louer à Ain Zaghouan Nord,,À Louer,2,132,2600,2
,Tunis,Local commercial à El Menzah 1,,À Louer,2,280,3000,1
,Tunis,appartement a vendre au berges du lac 1,,À Vendre,2,260,1500000,4
,Tunis,Fonds de commerce a vendre au passage,,À Vendre,2,108,,1
,Ben Arous,studio à la nouvelle medina,,False,False,False,600,False
,Tunis,bureau 300m² a louer à Tunis belvédère,,À Louer,2,300,7000,5
,Sfax,Terrain à vendre à route de Tunis sakiet ezzit sfax,,False,False,False,,False
,Sousse,un joli appartement s+2 haut gamme haut standing,,À Louer,1,95,1000,2
,Ariana,Magnifique villa à cité El Ghazela,,False,3,473,820000,4
,Tunis,Aouina,,À Louer,1,120,1200,3
,Ben Arous,terrain 5000m2 bir el kassaa route principale,,False,False,False,5000000,False
,Tunis,villa les berge du lac 800m,,rent,4.0,800.0,7000,8.0
,Sousse,jolie maison ou ceour de la ville zaouiet sousse,,À Vendre,2,148,250000,3
