Localisation,Type de bien,Superficie,Nb_Salles De bain,Nb_Chambres,Prix
Ben_Arous,Maison,120.0,3.0,5.0,312154.2035826534
Nabeul,villa,506.0,2.0,4.0,740000.0
Nabeul,Appartement,75.0,1.0,1.0,300000.0
Ariana,villa,400.0,1.0,5.0,450000.0
Nabeul,Maison,350.0,3.0,6.0,200000.0
Ariana,villa,306.0,2.0,7.0,810312.6399337281
Ben_Arous,villa,600.0,4.0,5.0,644807.120850657
Tunis,villa,611.0,2.0,4.0,674406.1145494571
Ariana,villa,227.0,2.0,4.0,970000.0
Nabeul,Maison,550.0,4.0,9.0,611970.097651291
Nabeul,villa,380.0,2.0,4.0,980000.0
Nabeul,Maison,275.0,1.0,3.0,384819.72788130713
Nabeul,villa,316.0,2.0,3.0,950000.0
Gafsa,villa,402.0,2.0,5.0,427860.3695220265
Sfax,Maison,189.0,1.0,3.0,232085.7567609737
Nabeul,villa,245.0,3.0,3.0,670000.0
Nabeul,villa,300.0,3.0,4.0,890000.0
Ariana,Maison,480.0,2.0,4.0,364078.4279821857
Tunis,villa,300.0,4.0,4.0,500000.0
Nabeul,Maison,280.0,1.0,5.0,460557.7486445807
Bja,villa,270.0,2.0,6.0,772440.892402899
Ben_Arous,Maison,100.0,1.0,4.0,130000.0
Nabeul,villa,535.0,2.0,4.0,755323.4759579529
Ben_Arous,villa,436.0,3.0,7.0,720559.6453309851
Nabeul,Maison,280.0,3.0,6.0,498369.9307174805
Tunis,villa,241.0,3.0,6.0,550000.0
Nabeul,villa,280.0,2.0,4.0,724999.0
Nabeul,villa,269.0,2.0,3.0,620000.0
Nabeul,villa,364.0,2.0,4.0,755309.5042411797
Ariana,villa,280.0,2.0,4.0,590000.0
Monastir,villa,1200.0,3.0,8.0,600634.0518360096
Sousse,villa,600.0,1.0,6.0,850000.0
Nabeul,villa,220.0,2.0,4.0,650000.0
Ben_Arous,Maison,500.0,2.0,6.0,990000.0
Ariana,Maison,350.0,2.0,6.0,439805.4184427435
Ben_Arous,Maison,135.0,1.0,4.0,120000.0
Sousse,villa,1200.0,3.0,6.0,787899.968658362
Tunis,Maison,189.0,1.0,3.0,189999.0
Ariana,villa,402.0,2.0,6.0,269997.0
Nabeul,villa,500.0,1.0,2.0,300000.0
Tunis,villa,253.0,2.0,3.0,1230000.0
Nabeul,Maison,90.0,3.0,4.0,422616.794354189
Sfax,villa,800.0,2.0,9.0,450000.0
Ariana,villa,545.0,2.0,4.0,780000.0
Tunis,Maison,140.0,1.0,4.0,341753.932634968
Ben_Arous,Maison,256.0,2.0,4.0,274324.8214964795
Ben_Arous,villa,363.0,2.0,4.0,606975.5744685449
Ben_Arous,villa,373.0,1.0,4.0,540000.0
Jendouba,villa,802.0,1.0,3.0,550000.0
Ariana,villa,420.0,2.0,4.0,980000.0
Nabeul,Maison,500.0,2.0,3.0,180000.0
Nabeul,villa,400.0,3.0,4.0,755284.1336333014
Nabeul,villa,329.0,4.0,3.0,1100000.0
Ben_Arous,villa,562.0,4.0,8.0,830000.0
Ariana,villa,457.0,2.0,3.0,658849.7530644941
Ariana,villa,400.0,3.0,4.0,696685.5899204053
Ben_Arous,villa,500.0,1.0,1.0,990000.0
Ben_Arous,villa,420.0,1.0,3.0,1100000.0
Tunis,Maison,120.0,1.0,2.0,130000.0
Bizerte,Maison,110.0,1.0,4.0,165000.0
Ariana,villa,426.0,1.0,4.0,790000.0
Tunis,villa,244.0,2.0,5.0,1200000.0
Ariana,Maison,466.0,1.0,3.0,480000.0
Tunis,villa,374.0,3.0,3.0,1200000.0
Bizerte,villa,402.0,1.0,2.0,1200000.0
Nabeul,villa,1200.0,1.0,3.0,717537.3163172356
Ariana,villa,200.0,1.0,3.0,420000.0
Ariana,Maison,466.0,1.0,4.0,480000.0
Ariana,villa,400.0,1.0,5.0,780000.0
Tunis,villa,649.0,4.0,9.0,1180000.0
