Region,Localisation,Type,Nature,Area,#Bathrooms,#Bedrooms,Price
Ben Arous,Ben_Arous,Maison,À Vendre,216.0,2.0,3,375000.0
Ben Arous,Ben_Arous,villa,À Vendre,418.0,4.0,7,790000.0
Ben Arous,Ben_Arous,Maison,À Vendre,420.0,3.0,4,590000.0
Ben Arous,Ben_Arous,,À Vendre,180.0,3.0,3,319000.0
Ben Arous,Ben_Arous,villa,À Vendre,94.0,1.0,,140000.0
Ben Arous,Ben_Arous,Maison,À Vendre,200.0,1.0,3,325000.0
Ben Arous,Ben_Arous,Maison,À Vendre,206.0,1.0,3,360000.0
Sousse,Sousse,villa,À Vendre,792.0,1.0,3,1800000.0
Ben Arous,Ben_Arous,Maison,À Vendre,622.0,1.0,3,430000.0
Ben Arous,Ben_Arous,villa,À Vendre,395.0,3.0,3,495000.0
Sousse,Sousse,villa,À Vendre,387.0,2.0,5,650000.0
Tunis,Tunis,Maison,À Vendre,367.0,4.0,4,700000.0
Ben Arous,Ben_Arous,,À Vendre,622.0,1.0,3,800000.0
Tunis,Tunis,Maison,À Vendre,101.0,1.0,2,212000.0
Zaghouan,Zaghouan,,À Vendre,160.0,3.0,7,600000.0
Sousse,Sousse,villa,À Vendre,760.0,3.0,6,1.0
Sousse,Sousse,Maison,À Vendre,365.0,4.0,6,0.0
Tunis,Tunis,Maison,À Vendre,378.0,3.0,3,1.0
Tunis,Tunis,villa,À Vendre,410.0,3.0,4,1200000.0
Nabeul,Nabeul,Maison,À Vendre,180.0,1.0,2,140000.0
Ben Arous,Ben_Arous,,À Vendre,210.0,3.0,4,350000.0
Ben Arous,Ben_Arous,villa,À Vendre,250.0,3.0,5,6.0
Ariana,Ariana,villa,À Vendre,,2.0,,950000.0
Nabeul,Nabeul,villa,À Vendre,550.0,4.0,3,870000.0
Nabeul,Nabeul,villa,À Vendre,430.0,3.0,4,790000.0
Monastir,Monastir,,À Vendre,970.0,6.0,6,1.0
Nabeul,Nabeul,villa,À Vendre,1295.0,3.0,6,12345660.0
Nabeul,Nabeul,Appartement,À Vendre,585.0,4.0,8,1799999.0
Ariana,Ariana,villa,À Vendre,450.0,5.0,11,750000.0
Tunis,Tunis,Maison,À Vendre,95.0,2.0,5,1.0
Ariana,Ariana,villa,À Vendre,150.0,6.0,8,0.0
Ben Arous,Ben_Arous,,À Vendre,320.0,2.0,5,380000.0
Nabeul,Nabeul,Maison,À Vendre,600.0,4.0,6,240000.0
Ben Arous,Ben_Arous,,À Vendre,381.0,2.0,5,580000.0
Ariana,Ariana,villa,À Vendre,391.0,2.0,4,849000.0
Ariana,Ariana,,À Vendre,200.0,3.0,3,560000.0
Ariana,Ariana,villa,À Vendre,402.0,5.0,8,890000.0
Ariana,Ariana,Appartement,À Vendre,140.0,2.0,3,1.0
Ariana,Ariana,villa,À Vendre,220.0,1.0,4,660000.0
Nabeul,Nabeul,villa,À Vendre,320.0,4.0,4,990000.0
Nabeul,Nabeul,villa,À Vendre,620.0,4.0,4,720000.0
Nabeul,Nabeul,Maison,À Vendre,150.0,1.0,2,130000.0
Sousse,Sousse,villa,À Vendre,0.0,2.0,4,1.0
Ben Arous,Ben_Arous,villa,À Vendre,1014.0,4.0,6,2400000.0
Tunis,Tunis,,À Vendre,260.0,4.0,6,880000.0
Ariana,Ariana,villa,À Vendre,300.0,0.0,4,980000.0
Ariana,Ariana,villa,À Vendre,1500.0,0.0,0,1400000.0
Ben Arous,Ben_Arous,villa,À Vendre,524.0,0.0,3,650000.0
Ben Arous,Ben_Arous,Maison,,,,2,98000.0
La Manouba,La_Manouba,,À Vendre,115.0,1.0,3,229000.0
Ben Arous,Ben_Arous,Maison,À Vendre,120.0,2.0,5,-3.0
Ariana,Ariana,villa,À Vendre,2200.0,4.0,5,2600000.0
Ariana,Ariana,,À Vendre,216.0,0.0,3,1.0
Tunis,Tunis,Maison,À Vendre,250.0,4.0,,720000.0
Tunis,Tunis,Maison,À Vendre,60.0,4.0,5,270000.0
Tunis,Tunis,Maison,À Vendre,260.0,3.0,5,320000.0
Sousse,Sousse,villa,À Vendre,9000.0,3.0,5,1450000.0
Sfax,Sfax,villa,À Vendre,700.0,3.0,4,600000.0
Nabeul,Nabeul,villa,À Vendre,440.0,2.0,4,845000.0
Tunis,Tunis,villa,À Vendre,464.0,3.0,3,1400000.0
Ariana,Ariana,villa,À Vendre,300.0,2.0,5,970000.0
La Manouba,La_Manouba,,À Vendre,118.0,2.0,2,0.0
Ben Arous,Ben_Arous,villa,À Vendre,477.0,2.0,4,680000.0
Ben Arous,Ben_Arous,villa,À Vendre,169.0,3.0,6,480000.0
Ben Arous,Ben_Arous,villa,À Vendre,444.0,3.0,4,480000.0
Ariana,Ariana,villa,À Vendre,539.0,2.0,6,900000.0
Ariana,Ariana,villa,À Vendre,380.0,5.0,4,0.0
Ben Arous,Ben_Arous,,À Vendre,100.0,1.0,2,115000.0
Ben Arous,Ben_Arous,villa,À Vendre,460.0,3.0,6,450000.0
La Manouba,La_Manouba,villa,À Vendre,565.0,4.0,9,0.0
Médenine,Mdenine,villa,À Vendre,450.0,4.0,5,1.0
Monastir,Monastir,Maison,À Vendre,490.0,2.0,2,218000.0
Ariana,Ariana,Maison,À Vendre,90.0,2.0,6,360000.0
Nabeul,Nabeul,villa,À Vendre,300.0,5.0,4,0.0
Sfax,Sfax,villa,À Vendre,829.0,2.0,3,850000.0
Sfax,Sfax,,À Vendre,1796.0,1.0,3,735000.0
Ariana,Ariana,villa,À Vendre,318.0,1.0,2,200000000.0
Ariana,Ariana,Maison,À Vendre,420.0,1.0,5,1111.0
Tunis,Tunis,Maison,À Vendre,70.0,1.0,4,80000.0
Ben Arous,Ben_Arous,Maison,À Vendre,120.0,3.0,5,0.0
Nabeul,Nabeul,villa,À Vendre,506.0,2.0,4,740000.0
Nabeul,Nabeul,Appartement,À Vendre,75.0,1.0,1,300000.0
Ariana,Ariana,villa,À Vendre,400.0,1.0,5,450000.0
Nabeul,Nabeul,Maison,À Vendre,350.0,3.0,6,200000.0
Ariana,Ariana,villa,À Vendre,306.0,2.0,7,0.0
Ben Arous,Ben_Arous,villa,À Vendre,600.0,4.0,5,0.0
Tunis,Tunis,villa,À Vendre,611.0,0.0,000,0.0
Ariana,Ariana,villa,À Vendre,227.0,2.0,4,970000.0
Nabeul,Nabeul,Maison,À Vendre,550.0,4.0,9,0.0
Nabeul,Nabeul,villa,À Vendre,380.0,2.0,4,980000.0
Sousse,Sousse,,À Vendre,1100.0,16.0,16,0.0
Nabeul,Nabeul,Maison,À Vendre,275.0,0.0,0,0.0
Nabeul,Nabeul,villa,À Vendre,316.0,2.0,3,950000.0
Gafsa,Gafsa,villa,À Vendre,,,5,0.0
Tunis,Tunis,,À Vendre,96.0,1.0,3,350000.0
Sfax,Sfax,Maison,À Vendre,,,,300.0
Nabeul,Nabeul,villa,À Vendre,245.0,3.0,3,670000.0
Nabeul,Nabeul,villa,À Vendre,300.0,3.0,4,890000.0
Ariana,Ariana,Maison,À Vendre,480.0,2.0,4,0.0
Tunis,Tunis,villa,À Vendre,300.0,4.0,4,500000.0
Ben Arous,Ben_Arous,,À Vendre,160.0,1.0,2,198000.0
Nabeul,Nabeul,Maison,À Vendre,280.0,1.0,5,380.0
Nabeul,Nabeul,,À Vendre,100.0,1.0,2,195000.0
Béja,Bja,villa,À Vendre,270.0,2.0,6,320.0
Tunis,Tunis,Maison,À Vendre,260.0,3.0,5,320000.0
Tunis,Tunis,,À Vendre,150.0,7.0,5,449998.0
Ben Arous,Ben_Arous,Maison,À Vendre,100.0,1.0,4,130000.0
Nabeul,Nabeul,villa,À Vendre,535.0,2.0,4,910.0
Ben Arous,Ben_Arous,villa,À Vendre,436.0,3.0,7,1.0
Nabeul,Nabeul,Maison,À Vendre,280.0,3.0,6,1350000.0
Tunis,Tunis,villa,À Vendre,241.0,3.0,6,550000.0
Nabeul,Nabeul,villa,À Vendre,280.0,0.0,4,724999.0
Nabeul,Nabeul,villa,À Vendre,269.0,2.0,3,620000.0
Nabeul,Nabeul,villa,À Vendre,364.0,0.0,4,1380000.0
Ariana,Ariana,villa,À Vendre,280.0,2.0,4,590000.0
Monastir,Monastir,villa,À Vendre,1200.0,3.0,8,4200000000.0
Sousse,Sousse,villa,À Vendre,600.0,1.0,6,850000.0
Nabeul,Nabeul,villa,À Vendre,220.0,2.0,4,650000.0
Ben Arous,Ben_Arous,Maison,À Vendre,500.0,2.0,6,990000.0
Ariana,Ariana,Maison,À Vendre,350.0,2.0,6,0.0
Ben Arous,Ben_Arous,Maison,À Vendre,135.0,1.0,4,120000.0
Sousse,Sousse,villa,À Vendre,1200.0,3.0,6,2500000.0
Tunis,Tunis,Maison,À Vendre,,,,189999.0
Ariana,Ariana,villa,À Vendre,,,6,269997.0
Nabeul,Nabeul,villa,À Vendre,500.0,1.0,2,300000.0
Tunis,Tunis,villa,À Vendre,253.0,,,1230000.0
Ben Arous,Ben_Arous,,À Vendre,140.0,2.0,4,175000.0
Nabeul,Nabeul,Maison,À Vendre,90.0,3.0,4,250.0
Sfax,Sfax,villa,À Vendre,800.0,2.0,9,450000.0
Nabeul,Nabeul,,À Vendre,230.0,1.0,4,185000.0
Monastir,Monastir,,À Vendre,145.0,1.0,3,198000.0
Ariana,Ariana,villa,À Vendre,545.0,2.0,4,780000.0
Nabeul,Nabeul,Maison,À Vendre,269.0,1.0,3,400000.0
Tunis,Tunis,Maison,À Vendre,140.0,1.0,4,0.0
Ben Arous,Ben_Arous,Maison,À Vendre,256.0,2.0,4,1.0
Ben Arous,Ben_Arous,villa,À Vendre,363.0,2.0,4,1.0
Ben Arous,Ben_Arous,villa,À Vendre,373.0,1.0,4,540000.0
Tunis,Tunis,,À Vendre,200.0,3.0,5,680000.0
Jendouba,Jendouba,villa,À Vendre,802.0,1.0,3,550000.0
Ariana,Ariana,villa,À Vendre,420.0,2.0,4,980000.0
Ariana,Ariana,villa,À Vendre,420.0,2.0,4,980000.0
Ariana,Ariana,villa,À Vendre,420.0,2.0,4,980000.0
Ariana,Ariana,villa,À Vendre,420.0,2.0,4,980000.0
Ariana,Ariana,villa,À Vendre,420.0,2.0,4,980000.0
Ariana,Ariana,villa,À Vendre,420.0,2.0,4,980000.0
Ariana,Ariana,villa,À Vendre,420.0,2.0,4,980000.0
Ariana,Ariana,villa,À Vendre,420.0,2.0,4,980000.0
Ariana,Ariana,villa,À Vendre,420.0,2.0,4,980000.0
Ariana,Ariana,villa,À Vendre,420.0,2.0,4,980000.0
Ariana,Ariana,villa,À Vendre,420.0,2.0,4,980000.0
Nabeul,Nabeul,Maison,À Vendre,500.0,2.0,3,180000.0
Nabeul,Nabeul,,À Vendre,105.0,2.0,3,370000.0
Nabeul,Nabeul,villa,À Vendre,400.0,3.0,4,0.0
Nabeul,Nabeul,villa,À Vendre,329.0,4.0,3,1100000.0
Ben Arous,Ben_Arous,villa,À Vendre,562.0,4.0,8,830000.0
Ariana,Ariana,villa,À Vendre,457.0,0.0,3,1.0
Ariana,Ariana,villa,À Vendre,400.0,3.0,4,1.0
Sfax,Sfax,villa,À Vendre,1680.0,3.0,3,800000.0
Tunis,Tunis,,À Vendre,400.0,1.0,1,3500000.0
Ben Arous,Ben_Arous,villa,À Vendre,500.0,1.0,1,990000.0
Ben Arous,Ben_Arous,villa,À Vendre,420.0,1.0,3,1100000.0
Tunis,Tunis,,À Vendre,236.0,1.0,4,1.0
Ariana,Ariana,,À Vendre,170.0,1.0,3,320000.0
Tunis,Tunis,Maison,À Vendre,120.0,1.0,2,130000.0
Bizerte,Bizerte,Maison,À Vendre,110.0,1.0,4,165000.0
Tunis,Tunis,,À Vendre,330.0,1.0,1,280000.0
Tunis,Tunis,,À Vendre,312.0,1.0,1,1.0
Ariana,Ariana,villa,À Vendre,426.0,1.0,4,790000.0
Tunis,Tunis,villa,À Vendre,244.0,2.0,5,1200000.0
Ariana,Ariana,Maison,À Vendre,466.0,1.0,3,480000.0
Tunis,Tunis,villa,À Vendre,374.0,3.0,3,1200000.0
Tunis,Tunis,,À Vendre,140.0,1.0,1,640000.0
Tunis,Tunis,,À Vendre,140.0,1.0,2,640000.0
Ariana,Ariana,,À Vendre,300.0,1.0,3,850000.0
Bizerte,Bizerte,villa,À Vendre,,1.0,2,1200000.0
Nabeul,Nabeul,villa,À Vendre,1200.0,1.0,3,1350000.0
Ariana,Ariana,villa,À Vendre,200.0,1.0,3,420000.0
Tunis,Tunis,,À Vendre,400.0,1.0,3,3500000.0
Ariana,Ariana,Maison,À Vendre,466.0,1.0,4,480000.0
Ariana,Ariana,villa,À Vendre,400.0,1.0,5,780000.0
Tunis,Tunis,villa,À Vendre,649.0,4.0,9,1180000.0
Tunis,Tunis,villa,,,,4,0.0
Ben Arous,Ben_Arous,,À Vendre,173.0,2.0,0,190000.0
Tunis,Tunis,Maison,À Vendre,143.0,1.0,3,290000.0
Ben Arous,Ben_Arous,,À Vendre,297.0,2.0,3,320000.0
Ben Arous,Ben_Arous,,À Vendre,320.0,2.0,3,680000.0
Monastir,Monastir,,À Vendre,120.0,1.0,0,0.0
Ben Arous,Ben_Arous,villa,À Vendre,125.0,2.0,6,250000.0
Tunis,Tunis,Maison,À Vendre,100.0,3.0,6,450000.0
Tunis,Tunis,,À Vendre,80.0,2.0,3,420000.0
Sfax,Sfax,Appartement,À Vendre,22.5,1.0,4,230000.0
Sfax,Sfax,Maison,À Vendre,512.0,1.0,3,450000.0
Tunis,Tunis,villa,À Vendre,500.0,4.0,3,1920000.0
Tunis,Tunis,villa,À Vendre,590.0,4.0,5,0.0
La Manouba,La_Manouba,villa,À Vendre,518.0,3.0,4,1290.0
Tunis,Tunis,villa,À Vendre,350.0,3.0,4,850000.0
Ariana,Ariana,villa,À Vendre,575.0,4.0,4,0.0
Tunis,Tunis,,,,,3,220.0
Tunis,Tunis,villa,À Louer,,,,4300.0
La Manouba,La_Manouba,Maison,À Vendre,,,6,265000.0
Tunis,Tunis,,À Vendre,400.0,2.0,4,860000.0
Tunis,Tunis,,À Vendre,330.0,3.0,3,720000.0
Nabeul,Nabeul,villa,À Vendre,420.0,1.0,3,680000.0
Ben Arous,Ben_Arous,villa,À Vendre,256.0,2.0,4,1.0
Nabeul,Nabeul,villa,À Vendre,385.0,3.0,6,1250000.0
Tunis,Tunis,,À Vendre,470.0,4.0,7,1500000.0
Médenine,Mdenine,villa,À Vendre,220.0,2.0,4,1.0
Sousse,Sousse,villa,À Vendre,405.0,2.0,5,750000.0
Sousse,Sousse,Maison,À Vendre,180.0,2.0,2,150000.0
Ariana,Ariana,villa,À Vendre,764.0,0.0,2,950000.0
Ben Arous,Ben_Arous,villa,À Vendre,440.0,4.0,8,550.0
Ben Arous,Ben_Arous,Maison,À Vendre,85.0,3.0,8,160000.0
Nabeul,Nabeul,villa,À Vendre,1085.0,,,600000.0
Ben Arous,Ben_Arous,villa,À Vendre,350.0,5.0,6,550000.0
Ariana,Ariana,,À Vendre,150.0,1.0,3,400000.0
Tunis,Tunis,villa,À Vendre,400.0,2.0,4,750000.0
Nabeul,Nabeul,villa,À Vendre,530.0,2.0,0,650000.0
Tunis,Tunis,Maison,À Vendre,120.0,1.0,3,50000.0
Ben Arous,Ben_Arous,villa,À Vendre,504.0,2.0,3,380000.0
Sfax,Sfax,Maison,À Louer,400.0,1.0,1,0.0
Nabeul,Nabeul,Maison,À Vendre,1500.0,3.0,3,480000.0
Tunis,Tunis,villa,À Vendre,400.0,4.0,8,750000.0
Tunis,Tunis,villa,À Vendre,411.0,5.0,8,1050000.0
Ben Arous,Ben_Arous,villa,À Vendre,440.0,2.0,4,550000.0
Tunis,Tunis,villa,À Vendre,550.0,2.0,8,970000.0
Ariana,Ariana,villa,À Vendre,,,4,820000.0
Ben Arous,Ben_Arous,villa,À Vendre,0.0,0.0,0,0.0
Nabeul,Nabeul,villa,À Vendre,1495.0,3.0,4,1.0
Ben Arous,Ben_Arous,,À Vendre,133.0,3.0,3,550000.0
Bizerte,Bizerte,Maison,À Vendre,103.0,2.0,4,0.0
Bizerte,Bizerte,villa,À Vendre,206.0,2.0,3,470000.0
Tunis,Tunis,villa,À Vendre,654.0,4.0,4,1800000.0
Tunis,Tunis,villa,À Vendre,400.0,3.0,5,1350000.0
Tunis,Tunis,,À Vendre,136.0,1.0,3,500000.0
Tunis,Tunis,,À Louer,240.0,2.0,8,440000.0
Nabeul,Nabeul,Maison,À Vendre,245.0,1.0,3,270000.0
Nabeul,Nabeul,,À Vendre,391.0,4.0,10,1300000.0
Nabeul,Nabeul,Maison,À Vendre,743.0,2.0,4,660000.0
Tunis,Tunis,villa,À Vendre,500.0,6.0,10,0.0
Ariana,Ariana,Maison,À Vendre,324.0,0.0,3,350000.0
Ariana,Ariana,Appartement,À Vendre,156.0,0.0,3,295000.0
Tunis,Tunis,villa,À Vendre,463.0,4.0,5,1550000.0
Ben Arous,Ben_Arous,,À Vendre,200.0,1.0,3,490000.0
Ben Arous,Ben_Arous,,À Vendre,147.0,1.0,4,379000.0
Nabeul,Nabeul,villa,À Vendre,318.0,4.0,4,1000000.0
Tunis,Tunis,villa,À Vendre,520.0,4.0,6,980000.0
Tunis,Tunis,Maison,À Vendre,172.0,1.0,3,190.0
Ben Arous,Ben_Arous,Maison,À Vendre,90.0,1.0,3,98000.0
Ariana,Ariana,villa,À Vendre,620.0,1.0,4,360000.0
Nabeul,Nabeul,villa,À Vendre,520.0,4.0,5,0.0
Nabeul,Nabeul,villa,À Vendre,1250.0,4.0,5,12.0
La Manouba,La_Manouba,,À Vendre,500.0,0.0,0,650000.0
Bizerte,Bizerte,villa,À Vendre,270.0,0.0,3,350000.0
Ariana,Ariana,villa,À Vendre,380.0,6.0,5,1200000.0
Bizerte,Bizerte,villa,À Vendre,252.0,2.0,1,449996.0
Ariana,Ariana,Maison,À Vendre,85.0,2.0,4,175000.0
Ben Arous,Ben_Arous,villa,À Vendre,135.0,2.0,9,240000.0
Ben Arous,Ben_Arous,villa,À Vendre,245.0,2.0,8,400000.0
Ben Arous,Ben_Arous,villa,À Vendre,300.0,3.0,7,540000.0
Ben Arous,Ben_Arous,Maison,À Vendre,90.0,2.0,7,155000.0
Ben Arous,Ben_Arous,villa,À Vendre,187.0,1.0,3,230000.0
Ben Arous,Ben_Arous,villa,À Vendre,300.0,1.0,5,280000.0
Ben Arous,Ben_Arous,,À Vendre,150.0,2.0,4,350000.0
Ben Arous,Ben_Arous,villa,À Vendre,400.0,3.0,7,650000.0
Ariana,Ariana,villa,À Vendre,530.0,3.0,6,450000.0
Tunis,Tunis,Maison,À Vendre,100.0,2.0,8,210000.0
Ben Arous,Ben_Arous,Maison,À Vendre,135.0,2.0,8,240000.0
Ben Arous,Ben_Arous,villa,À Vendre,187.0,1.0,5,235000.0
Tunis,Tunis,,À Vendre,120.0,2.0,5,270000.0
Ariana,Ariana,villa,À Vendre,260.0,5.0,4,0.0
Ariana,Ariana,villa,À Vendre,1000.0,3.0,6,0.0
Tunis,Tunis,villa,sale,,4.0,,1350000.0
Tunis,Tunis,villa,sale,,2.0,,1600000.0
Tunis,Tunis,Maison,À Vendre,280.0,2.0,8,1.0
Ariana,Ariana,villa,À Vendre,350.0,1.0,4,420000.0
Ariana,Ariana,,À Vendre,332.0,3.0,3,790000.0
Nabeul,Nabeul,Maison,À Vendre,200.0,,,0.0
Sfax,Sfax,Maison,À Vendre,371.0,1.0,3,350000.0
Ben Arous,Ben_Arous,,À Vendre,255.0,2.0,8,170000.0
Nabeul,Nabeul,villa,À Vendre,260.0,2.0,3,1150000.0
Tunis,Tunis,Maison,À Vendre,100.0,2.0,4,220.0
Ariana,Ariana,Maison,À Vendre,330.0,1.0,,480.0
Ben Arous,Ben_Arous,villa,À Vendre,900.0,3.0,6,1.0
Nabeul,Nabeul,,À Vendre,100.0,2.0,2,220000.0
Ariana,Ariana,villa,À Vendre,200.0,0.0,,135000.0
La Manouba,La_Manouba,Appartement,À Vendre,200.0,1.0,2,175000.0
Sousse,Sousse,villa,À Vendre,792.0,1.0,3,1800000000.0
Le Kef,Le_Kef,villa,À Vendre,314.0,1.0,5,0.0
Ben Arous,Ben_Arous,villa,À Vendre,400.0,0.0,6,300000.0
