Region,Type,Area,#Bathrooms,#Bedrooms,Price
Ariana,Villa,539.0,2.0,6.0,900000.0
Ariana,Villa,380.0,5.0,4.0,130000.0
Ben Arous,Appartement,100.0,1.0,2.0,130000.0
Ben Arous,Villa,460.0,3.0,6.0,450000.0
Médenine,Villa,450.0,4.0,5.0,130000.0
Monastir,Villa,490.0,2.0,2.0,218000.0
Ariana,Villa,90.0,2.0,6.0,360000.0
Nabeul,Villa,300.0,5.0,4.0,130000.0
Sfax,Villa,829.0,2.0,3.0,850000.0
Ariana,Villa,318.0,1.0,2.0,2300000.0
Ariana,Villa,420.0,1.0,5.0,130000.0
Tunis,Villa,70.0,1.0,4.0,130000.0
Ben Arous,Villa,120.0,3.0,5.0,130000.0
Nabeul,Villa,506.0,2.0,4.0,740000.0
Nabeul,Appartement,75.0,1.0,1.0,300000.0
Ariana,Villa,400.0,1.0,5.0,450000.0
Nabeul,Villa,350.0,3.0,6.0,200000.0
Ariana,Villa,306.0,2.0,7.0,130000.0
Ben Arous,Villa,600.0,4.0,5.0,130000.0
Tunis,Villa,611.0,2.0,4.0,130000.0
Ariana,Villa,227.0,2.0,4.0,970000.0
Nabeul,Villa,380.0,2.0,4.0,980000.0
Nabeul,Villa,275.0,2.0,4.0,130000.0
Nabeul,Villa,316.0,2.0,3.0,950000.0
Gafsa,Villa,350.0,2.0,5.0,130000.0
Tunis,Appartement,96.0,1.0,3.0,350000.0
Sfax,Villa,350.0,1.0,4.0,130000.0
Nabeul,Villa,245.0,3.0,3.0,670000.0
Nabeul,Villa,300.0,3.0,4.0,890000.0
Ariana,Villa,480.0,2.0,4.0,130000.0
Tunis,Villa,300.0,4.0,4.0,500000.0
Ben Arous,Appartement,160.0,1.0,2.0,198000.0
Nabeul,Villa,280.0,1.0,5.0,130000.0
Nabeul,Appartement,100.0,1.0,2.0,195000.0
Béja,Villa,270.0,2.0,6.0,130000.0
Ben Arous,Villa,100.0,1.0,4.0,130000.0
Nabeul,Villa,535.0,2.0,4.0,130000.0
Ben Arous,Villa,436.0,3.0,7.0,130000.0
Nabeul,Villa,280.0,3.0,6.0,1350000.0
Tunis,Villa,241.0,3.0,6.0,550000.0
Nabeul,Villa,280.0,2.0,4.0,724999.0
Nabeul,Villa,269.0,2.0,3.0,620000.0
Nabeul,Villa,364.0,2.0,4.0,1380000.0
Ariana,Villa,280.0,2.0,4.0,590000.0
Sousse,Villa,600.0,1.0,6.0,850000.0
Nabeul,Villa,220.0,2.0,4.0,650000.0
Ben Arous,Villa,500.0,2.0,6.0,990000.0
Ariana,Villa,350.0,2.0,6.0,130000.0
Ben Arous,Villa,135.0,1.0,4.0,130000.0
